L,nup,delta,seed,chi_d,chi_dxy,n
12,56,0.1,2,5.345927000546361,-2.3884769393141094,0.7777777777777778
12,56,0.2,1,3.1744833139854207,-3.6006457712557767,0.7777777777777778
12,56,0.2,2,4.954176307528784,-4.197824325279851,0.7777777777777778
12,56,0.3,1,2.461038188524233,-5.404125131270689,0.7777777777777778
12,56,0.3,2,1.5360482360234726,-4.9486862442813235,0.7777777777777778
12,56,0.4,1,0.7631456015239948,-5.689227366333558,0.7777777777777778
12,56,0.4,2,2.87964847564725,-6.655431684264616,0.7777777777777778
12,64,0.0,1,6.122505217772153,-1.501341786026256,0.8888888888888888
12,64,0.0,2,7.9189026736423855,-2.438913362136245,0.8888888888888888
12,64,0.1,1,5.402044962545718,-1.9135406100363042,0.8888888888888888
12,64,0.1,2,5.582895834184589,-1.9644753622464624,0.8888888888888888
12,64,0.2,1,4.918472457941901,-4.481712993441278,0.8888888888888888
12,64,0.2,2,5.585542758247966,-3.8414109039253717,0.8888888888888888
12,64,0.3,1,3.319294352734559,-3.5303573023561485,0.8888888888888888
12,64,0.3,2,3.5366274134556854,-3.365304776101368,0.8888888888888888
12,64,0.4,1,4.015136299391794,2.998608387356151,0.8888888888888888
12,64,0.4,2,1.9455381095216908,3.059677032508503,0.8888888888888888
12,72,0.0,1,4.375866404018173,-0.7826850701554549,1.0
12,72,0.0,2,3.883438606803982,-1.485405723765517,1.0
12,72,0.1,1,3.2043633284576556,-1.6328138988162337,1.0
12,72,0.1,2,3.8565638619873135,-1.2940674702798993,1.0
12,72,0.2,1,2.7534620046011,3.636611378706442,1.0
12,72,0.2,2,2.2208676299510683,3.2331196524999832,1.0
12,72,0.3,1,2.098340585747107,5.125930601492866,1.0
12,72,0.3,2,1.8692093800012686,4.913500172504938,1.0
12,72,0.4,1,1.506656522496463,5.615313643328472,1.0
12,72,0.4,2,1.3752635724511655,5.631248869580017,1.0
