L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
12,64,0.6,8.0,1,-1.955548563493504,2.9831436998272736,0.6872634778392941,2.9044875053878627,0.8888888888888888
12,64,0.6,8.0,2,-2.0895352069072564,2.4020711472404357,1.7792462840741514,3.065808551456176,0.8888888888888888
12,64,0.6,8.0,3,-2.2075019623228735,2.6691308383400774,0.8740221824606513,3.8834993403979525,0.8888888888888888
12,64,0.6,8.0,4,-1.9363411958213697,2.4807520290939378,1.0107428299495078,3.0594443709372627,0.8888888888888888
12,64,0.6,8.0,5,-1.9597772521518315,2.305081969091848,0.9607832311422648,2.8005121122712167,0.8888888888888888
12,64,0.6,8.0,6,-1.8680521785290574,2.6643243249939568,1.3372932598706495,2.803456659542247,0.8888888888888888
12,72,0.6,8.0,1,-1.2880778739863388,2.658518001704696,1.6708822331055888,3.5472775422566714,1.0
12,72,0.6,8.0,2,-1.5389747355041412,2.9651801907223203,2.1061225115281066,4.099607374651408,1.0
12,72,0.6,8.0,3,-1.4488387722260305,3.1431899233631837,2.023879980450296,4.098778224342752,1.0
12,72,0.6,8.0,4,-1.5463035842081394,3.0596055782849367,2.1261472768930796,3.943827553764204,1.0
12,72,0.6,8.0,5,-1.621411397411365,3.235702483486263,1.5162005697428542,4.420801757243009,1.0
12,72,0.6,8.0,6,-1.5217112830042638,2.972644387067864,0.5065361969960352,4.2974899291792905,1.0
12,36,0.7,8.0,1,-21.96295396211282,-13.715015057374156,-7.348076599827129,-10.950295559238516,0.5
12,36,0.7,8.0,2,-20.194621797522224,-9.082384623581463,-26.810092007191606,-15.799540635789365,0.5
12,36,0.7,8.0,3,-21.5333173500754,-18.448285303364322,-10.013594112480604,-15.60680778423021,0.5
12,36,0.7,8.0,4,-21.11406479343077,-13.30971692098837,-14.341366199562174,-8.984059945577288,0.5
12,36,0.7,8.0,5,-21.4416914238644,-15.568804700281394,-13.276784214837487,-8.25148921746013,0.5
12,36,0.7,8.0,6,-21.254236958142254,-18.632066538068017,-15.405247259432281,-8.244626503168604,0.5
12,40,0.7,8.0,1,-14.660642808681178,-10.287672985823368,-6.69094832050236,-7.1734936556767295,0.5555555555555556
12,40,0.7,8.0,2,-14.798278240884935,-8.836260530655558,-5.9042658987221985,-4.714460816443312,0.5555555555555556
12,40,0.7,8.0,3,-14.8011160443458,-10.881895714602225,-14.65029121904654,-11.192063743061809,0.5555555555555556
12,40,0.7,8.0,4,-14.648493011838331,-9.860265147371887,-4.02999774577126,-7.489275273599626,0.5555555555555556
12,40,0.7,8.0,5,-14.426619508231273,-9.101777072656859,-15.78647729039192,-5.354165902305988,0.5555555555555556
12,40,0.7,8.0,6,-14.233661751845768,-13.517612487244264,-2.3291373589122175,-4.8287803469803965,0.5555555555555556
12,48,0.7,8.0,1,-7.025794115052906,-3.44243669037638,-6.096320459155652,-3.721094207658518,0.6666666666666666
12,48,0.7,8.0,2,-6.983527316046055,-3.862861527300693,-1.7090003063595713,-5.697750831884418,0.6666666666666666
12,48,0.7,8.0,3,-6.870794081658135,-2.7305083452206125,-3.7649218720127577,-4.384454304756278,0.6666666666666666
12,48,0.7,8.0,4,-7.551126581551363,-3.8830103736881547,-2.4567693995867916,-4.11906791490325,0.6666666666666666
12,48,0.7,8.0,5,-6.91017349021341,-3.688323476908394,-4.050624012148659,-5.009730820866409,0.6666666666666666
12,48,0.7,8.0,6,-7.032963799118427,-3.541864049932889,-6.181963065529198,-4.9406247450080665,0.6666666666666666
12,56,0.7,8.0,1,-3.507698338688266,0.4406446588813947,-0.12127491091690912,0.555648986832003,0.7777777777777778
12,56,0.7,8.0,2,-3.515907190660935,0.2689204819540728,-3.9336861611210083,0.520493874101618,0.7777777777777778
