L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
8,28,0.3,6.0,3,-1.6728345528246524,1.9476522066203485,0.7932988998360204,-0.567102394415812,0.875
8,28,0.3,6.0,4,-1.7171427060971862,1.800863710451178,0.9814915316260968,-0.593073849172951,0.875
8,28,0.3,6.0,5,-1.7144728038894044,1.9026925818630296,1.0709084241930342,-0.5344511116976418,0.875
8,28,0.3,6.0,6,-1.739943048404437,1.886101301271865,1.3468788112787204,-1.0214901370457072,0.875
8,28,0.4,6.0,1,-1.7362998556671854,1.7171566928978046,0.7577826458869269,0.5590511012360124,0.875
8,28,0.4,6.0,2,-1.7240693914492788,1.7853504543982777,0.7525557741728154,0.3712488453857995,0.875
8,28,0.4,6.0,3,-1.718792575842599,1.8375590485569624,1.012298518181727,0.5500684711583741,0.875
8,28,0.4,6.0,4,-1.7701735082142,1.7950103184303536,1.2917065238263097,0.4145735690716455,0.875
8,28,0.4,6.0,5,-1.7601329204983263,1.8200437340219267,0.5323132693134631,0.44397519277422787,0.875
8,28,0.4,6.0,6,-1.7808436076566339,1.8367532428764002,1.2819603220209683,0.424161524235254,0.875
8,32,0.0,6.0,1,-1.0177484322310886,2.4317805633054403,2.780833652212126,-0.5297596321668846,1.0
8,32,0.0,6.0,2,-0.9991167661296803,2.299544290848633,2.2422811684033537,-0.6863414909499078,1.0
8,32,0.0,6.0,3,-1.0428245173670116,2.4131288508517628,1.8937511308281323,-0.6048784673005853,1.0
8,32,0.0,6.0,4,-1.0668599454608767,2.526708864283193,2.258575059167472,-0.6601253801336422,1.0
8,32,0.0,6.0,5,-1.0096893566297012,2.4019047757937613,2.1946304606003038,-0.6883611657761758,1.0
8,32,0.0,6.0,6,-1.0129605569437865,2.439083145357074,2.292706122152945,-0.6557993132554707,1.0
8,32,0.1,6.0,1,-1.1157906201609507,2.4885503239264226,1.918942915898392,-0.13629824269340338,1.0
8,32,0.1,6.0,2,-1.1375006520618638,2.4990769888798097,1.9900348905363157,-0.263418238682136,1.0
8,32,0.1,6.0,3,-1.0288683014470226,2.376513241230132,1.7721478337929355,-0.27999621218551163,1.0
8,32,0.1,6.0,4,-1.0322637746334293,2.3177746131132446,1.998353716055145,-0.04974029586891253,1.0
8,32,0.1,6.0,5,-1.1282571779701729,2.4252796578229945,2.010709744695138,0.07528050708154037,1.0
8,32,0.1,6.0,6,-1.1096500740892528,2.4942854828131664,1.8772826048330615,0.14601505542871962,1.0
8,32,0.2,6.0,1,-1.2011245866150424,2.3890033399056207,1.9500854148360425,1.2457901346326292,1.0
8,32,0.2,6.0,2,-1.1922678151126327,2.4385321058521012,1.8454942680803192,1.1903248086514402,1.0
8,32,0.2,6.0,3,-1.0976412524013868,2.34948618689795,1.7309348803633025,0.9285874070369295,1.0
8,32,0.2,6.0,4,-1.1671181795866974,2.3727578534595675,1.66457696075349,1.3524738399090765,1.0
8,32,0.2,6.0,5,-1.1541368870890603,2.4327880822843575,2.2982895986874796,1.042664652068926,1.0
8,32,0.2,6.0,6,-1.1972063260580146,2.33705007154536,1.9761920068982821,1.1730827002869089,1.0
8,32,0.3,6.0,1,-1.2349497675544217,2.254110309114867,1.5156685529118552,1.781187280585219,1.0
8,32,0.3,6.0,2,-1.2588900463920705,2.2832067753739764,1.5150586962456096,1.9007856109100836,1.0
8,32,0.3,6.0,3,-1.2690742114508602,2.295252897916728,1.4769292180096874,1.982610354321622,1.0
8,32,0.3,6.0,4,-1.2813383143914148,2.310893325015111,1.4647554954906308,1.845012148966567,1.0
8,32,0.3,6.0,5,-1.2510147146319224,2.267654804073647,1.2203534848131445,1.9870610927532462,1.0
8,32,0.3,6.0,6,-1.2316919644502575,2.273106116473913,1.2785707094968946,2.181024796009035,1.0
8,32,0.4,6.0,1,-1.3309091336625571,2.118859514760209,1.2027027636473737,2.6570455385117504,1.0
8,32,0.4,6.0,2,-1.3135466791033497,2.1187793268563984,1.056232234059656,2.509822063883456,1.0
8,32,0.4,6.0,3,-1.2694013953149859,2.068757992513958,1.3421151848197725,2.6938386051672847,1.0
8,32,0.4,6.0,4,-1.3401575427240746,2.0897513920698563,1.2445952548704267,2.7202126964308793,1.0
8,32,0.4,6.0,5,-1.3114345772996558,2.084551474333465,1.1828040724630442,2.717611963175685,1.0
8,32,0.4,6.0,6,-1.332505993157532,2.1181074897941996,1.267899581451609,2.6302156148344937,1.0
