L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
8,28,0.2,0.0,4,-2.0214940832374852e-14,-1.3192780201620735e-14,-1.465938481715057e-13,-1.5116796703296134e-14,0.875
8,28,0.2,0.0,5,-2.0214940832374852e-14,-1.3192780201620735e-14,-1.465938481715057e-13,-1.5116796703296134e-14,0.875
8,28,0.2,0.0,6,-2.0214940832374852e-14,-1.3192780201620735e-14,-1.465938481715057e-13,-1.5116796703296134e-14,0.875
8,28,0.3,0.0,1,-8.264500195309667e-15,3.147204719056163e-15,1.6733281427150362e-14,-9.00612917575927e-15,0.875
8,28,0.3,0.0,2,-8.264500195309667e-15,3.147204719056163e-15,1.6733281427150362e-14,-9.00612917575927e-15,0.875
8,28,0.3,0.0,3,-8.264500195309667e-15,3.147204719056163e-15,1.6733281427150362e-14,-9.00612917575927e-15,0.875
8,28,0.3,0.0,4,-8.264500195309667e-15,3.147204719056163e-15,1.6733281427150362e-14,-9.00612917575927e-15,0.875
8,28,0.3,0.0,5,-8.264500195309667e-15,3.147204719056163e-15,1.6733281427150362e-14,-9.00612917575927e-15,0.875
8,28,0.3,0.0,6,-8.264500195309667e-15,3.147204719056163e-15,1.6733281427150362e-14,-9.00612917575927e-15,0.875
8,28,0.4,0.0,1,7.243095012654522e-15,1.8418322422775192e-14,-3.9790393202565614e-14,7.727152251391089e-15,0.875
8,28,0.4,0.0,2,7.243095012654522e-15,1.8418322422775192e-14,-3.9790393202565614e-14,7.727152251391089e-15,0.875
8,28,0.4,0.0,3,7.243095012654522e-15,1.8418322422775192e-14,-3.9790393202565614e-14,7.727152251391089e-15,0.875
8,28,0.4,0.0,4,7.243095012654522e-15,1.8418322422775192e-14,-3.9790393202565614e-14,7.727152251391089e-15,0.875
8,28,0.4,0.0,5,7.243095012654522e-15,1.8418322422775192e-14,-3.9790393202565614e-14,7.727152251391089e-15,0.875
