L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
6,14,0.0,0.0,5,5.706546346573305e-16,4.796718577892989e-15,4.3822723228004176e-14,-5.639932965095795e-15,0.7777777777777778
6,14,0.0,0.0,6,5.706546346573305e-16,4.796718577892989e-15,4.3822723228004176e-14,-5.639932965095795e-15,0.7777777777777778
6,14,0.1,0.0,1,5.941913627793838e-15,7.427392034742298e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778
6,14,0.1,0.0,2,5.941913627793838e-15,7.427392034742298e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778
6,14,0.1,0.0,3,5.941913627793838e-15,7.427392034742298e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778
6,14,0.1,0.0,4,5.941913627793838e-15,7.427392034742298e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778
6,14,0.1,0.0,5,5.941913627793838e-15,7.427392034742298e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778
6,14,0.1,0.0,6,5.941913627793838e-15,7.427392034742298e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778
6,14,0.2,0.0,1,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778
6,14,0.2,0.0,2,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778
6,14,0.2,0.0,3,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778
6,14,0.2,0.0,4,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778
6,14,0.2,0.0,5,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778
6,14,0.2,0.0,6,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778
6,14,0.3,0.0,1,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.796163466380677e-15,0.7777777777777778
6,14,0.3,0.0,2,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.796163466380677e-15,0.7777777777777778
6,14,0.3,0.0,3,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.796163466380677e-15,0.7777777777777778
6,14,0.3,0.0,4,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.796163466380677e-15,0.7777777777777778
6,14,0.3,0.0,5,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.796163466380677e-15,0.7777777777777778
6,14,0.3,0.0,6,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.796163466380677e-15,0.7777777777777778
6,14,0.4,0.0,1,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778
6,14,0.4,0.0,2,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778
6,14,0.4,0.0,3,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778
6,14,0.4,0.0,4,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778
6,14,0.4,0.0,5,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778
6,14,0.4,0.0,6,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778
6,16,0.0,0.0,1,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888
6,16,0.0,0.0,2,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888
6,16,0.0,0.0,3,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888
6,16,0.0,0.0,4,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888
6,16,0.0,0.0,5,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888
6,16,0.0,0.0,6,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888
6,16,0.1,0.0,1,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905467e-14,0.8888888888888888
6,16,0.1,0.0,2,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905467e-14,0.8888888888888888
6,16,0.1,0.0,3,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905467e-14,0.8888888888888888
6,16,0.1,0.0,4,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905467e-14,0.8888888888888888
6,16,0.1,0.0,5,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905467e-14,0.8888888888888888
6,16,0.1,0.0,6,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905467e-14,0.8888888888888888
6,16,0.2,0.0,1,2.4713564528155986e-15,-4.146682996974961e-15,-8.522071937022704e-15,-8.260059303211168e-16,0.8888888888888888
