L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex
10,25,0.1,4.0,5,0.5,56.66692864070461,-13.988744094927398,13.612354573017296,-23.786937598670665,230.37982042526704,19.033502491366583,32.87011396560253,-8.19632422123693,326.70727174375537,0.21241249333350964,248.18038055324504,-0.11617721686906679,333.24479546237427,1.3124743852258036,186.6754797815489,1.8270578478886512
10,25,0.1,4.0,6,0.5,56.68567908296201,-13.888953549979906,13.677076459315407,-23.527781402451378,230.66691276891228,19.407488119933205,32.871345059849574,-8.029290937319354,325.72972390857404,0.036200077188851765,246.56188294965713,-0.33743397887450255,332.3318762205443,0.6667072378045958,184.9702748753291,0.6845160811843967
10,25,0.2,4.0,1,0.5,56.427570529356174,-13.792750395501258,13.980237147147903,-24.326544786242657,228.53464185690456,18.483195847727867,33.300104055701894,-7.376599893318918,325.3551202534726,1.1445101061735172,247.23126407409782,0.5447515718681305,329.19792659198833,0.45895078865931965,194.78485463878212,-0.7178160099196795
10,25,0.2,4.0,2,0.5,56.41896002290592,-13.806903236393612,13.912181745719954,-24.513568633717405,228.59503829830243,18.26920261507994,31.729303127995138,-9.079242257874299,323.95706799341673,0.3035762128060341,244.68909833634075,-1.6958937323889316,328.8252532225839,0.12909798562047997,195.92570621243652,-0.26189529298929665
10,25,0.2,4.0,3,0.5,56.4237980105117,-13.8167509935931,13.90306805002659,-24.34303511504431,229.0922379619463,18.837837583461848,31.80088562167712,-8.802327884730058,322.48299311154676,-1.5955180776528024,242.82963876939212,-3.3760353495142112,329.01179690481484,0.02519875290463176,192.30000324568937,-2.5664181122911907
10,25,0.2,4.0,4,0.5,56.43114037544641,-13.808049829839069,13.904990975136233,-24.36432564006906,228.71808935356776,18.612156637569846,31.49327294780137,-9.078138921103257,325.2864916954401,0.8411386794360226,247.93947956120874,1.2454636443229747,329.1178849496482,0.48754163279343177,192.9829327952923,-2.1456073485628893
10,25,0.2,4.0,5,0.5,56.44067073799174,-13.825754240642746,13.933359076640821,-24.575536797476126,228.79645318773015,18.684468416747272,31.956458975396856,-8.844494761288399,324.22173569553115,-0.4174130117475471,245.57951491009902,-2.092384339629067,328.06917291680395,-0.692380928703814,194.7953771454242,-1.6184437702379229
10,25,0.2,4.0,6,0.5,56.428034231699755,-13.835503547333014,13.911434907171468,-24.38436955973707,228.90804879017855,18.961775622643543,32.01507223961879,-8.544612422556828,324.9706740481032,-0.07539465078124011,245.49296331322412,-1.1457393678043832,327.9690246975169,-0.41022669828600583,191.71650494505562,-3.216766412701098
10,25,0.3,4.0,1,0.5,56.01782885407887,-13.626760257766994,14.405283595094895,-25.347544233437475,226.0593936132429,17.598142111413956,30.762051212714358,-9.231502826734317,321.8232585955864,0.25049240918329047,241.461445270796,-1.9112495147754474,321.292068104503,-1.2150439316016417,202.52162589674322,-7.8292482044978895
10,25,0.3,4.0,2,0.5,56.00854182673313,-13.594858006913432,14.313789987089162,-25.25249724725724,225.87668090638786,17.285686627234327,30.521589176331595,-9.339541872102467,321.15698904366224,-0.544610884710589,239.8188100064179,-2.672253184559689,319.24095683509967,-3.00370686153245,200.65196954624034,-9.58909753716305
10,25,0.3,4.0,3,0.5,55.98040873655903,-13.51548674759594,14.324819294777765,-25.042454682147785,226.5275661784914,17.909706206691663,30.664719730472996,-9.156315128593613,319.6069631466404,-1.0132774509228937,238.0060996266471,-3.0076472920675164,319.3710081465849,-2.4600638969995146,199.90191697789578,-9.56524782358051
10,25,0.3,4.0,4,0.5,56.003488986462436,-13.5277241228566,14.39214413731501,-25.19429857034508,226.59531578250966,18.017829587048833,30.79581588570257,-9.150910769678381,319.93560433150145,-0.9265954514229862,239.68897519125585,-2.625355158289725,320.0630559723747,-2.5462942723307065,202.68613097552984,-8.210051623388967
10,25,0.3,4.0,5,0.5,56.024301708514564,-13.57659291198712,14.371666313441096,-25.310607904887075,226.80906589684713,18.248237746752153,31.261196584005337,-8.793626218184176,321.91703508624477,0.23697174138300597,242.035636399533,-1.792496711381728,320.33916997561346,-2.0277002635711114,199.4538646868869,-10.608192338735407
10,25,0.3,4.0,6,0.5,56.02000659652714,-13.605439005674612,14.380461693745369,-25.234675158089082,226.5902758972345,18.087544137207267,30.555174643386408,-9.341323515780488,321.91708845475273,0.3487060072140622,244.35702312903837,1.6203569769976045,320.155012250965,-2.195019725129195,203.81914331209651,-6.4867049935127366
10,25,0.4,4.0,1,0.5,55.4321539933483,-13.22520526569993,14.87425432427822,-26.41325865066215,218.6732716689151,12.826651711699492,30.740595341979862,-12.309564806679136,335.0713597184995,-0.14990101759115076,266.8273424349283,-3.8882307481784117,273.2949130358694,-4.878904850036963,150.11736482973646,-13.143096511883774
10,25,0.4,4.0,2,0.5,55.4139485257003,-13.336053385314958,14.746912056501486,-26.639294604992177,218.83305656503688,12.644923512166311,30.441127079015395,-12.779354374231925,335.2349109613343,-0.7965619640046953,266.98486502325136,-4.56897004268326,273.3494467473765,-4.530763511536551,149.9729074645151,-13.252137461062608
10,25,0.4,4.0,3,0.5,55.543305192338856,-13.324116014299733,15.024337245345055,-26.394450542891445,219.06539754445407,13.136895203139455,31.192807709085333,-12.199536966417096,335.28643107634707,-1.1969961925164228,266.76702182599035,-4.793292184019069,272.98145933706644,-5.721867525309134,153.95845089078836,-10.012061196515607
10,25,0.4,4.0,4,0.5,55.4420009999248,-13.293939744931933,14.879013830408564,-26.32714573722793,218.66387076412315,12.544826976979085,30.919786120165405,-12.2612659364046,334.8967767982294,-0.9330062829220764,267.4665507002237,-3.710771221822509,270.55214312631523,-7.340950949731666,147.01562243309303,-15.286110061804658
10,25,0.4,4.0,5,0.5,55.46718035591964,-13.084384721080834,14.882477058577336,-26.286877290938538,218.78780688597536,13.291334042046609,31.06146669627784,-11.851045980438352,335.23336039281463,-1.9573501278638332,269.5443238216537,-3.5309169002722838,270.6272751704802,-7.798273851679208,148.9725172638464,-15.59323983761708
10,25,0.4,4.0,6,0.5,55.40835230841284,-13.306177253467132,14.84089710648467,-26.26079175474697,219.1162856601355,12.939754613199266,30.778045970143438,-12.358586042945868,333.3469117624007,-2.022090658600844,265.1427471011354,-4.1611119949195565,272.08750797852133,-6.054127657493275,149.05625274297154,-13.748940540791768
