L,nup,delta,U,seed,Spipi,m,M_raw,mdelta,Psi_dxy,Psi_dx2y2,chi_pipi,chi_pipi_err,n
12,48,0.2,6.0,5,0.1827425977731326,0.035623669348748686,0.4274840321849842,0.007124733869749738,-0.0002608749856284389,0.0013608513952309044,0.06428331910170322,0.0028699756116853763,0.6666666666666666
12,48,0.2,6.0,6,0.1958937324024799,0.036883236594473214,0.4425988391336786,0.007376647318894643,-0.00035327104382945737,0.001961263856271352,0.06921744407228772,0.0035559092613749016,0.6666666666666666
12,48,0.3,6.0,1,0.17754974819736397,0.03511387706422767,0.42136652477073205,0.010534163119268301,-0.0014376794178027664,-9.408512889903952e-05,0.05926970629467974,0.0030141800722618553,0.6666666666666666
12,48,0.3,6.0,2,0.17238850195650535,0.03459974529816591,0.41519694357799086,0.010379923589449773,-0.0004182812149500382,-0.0012862061076379305,0.05646968512668325,0.0020145047167757202,0.6666666666666666
12,48,0.3,6.0,3,0.16870344683439048,0.03422793762597612,0.4107352515117134,0.010268381287792835,-0.0010756276563875095,0.0003789291400978994,0.053848080442158705,0.0028143226636278464,0.6666666666666666
12,48,0.3,6.0,4,0.171399606058751,0.034500362926709334,0.414004355120512,0.0103501088780128,-0.0007895939476207374,0.0002885747658814892,0.057959833678087325,0.002315949246213332,0.6666666666666666
12,48,0.3,6.0,5,0.1603435694266941,0.03336910262364869,0.4004292314837843,0.010010730787094607,-0.0007373463164096589,0.0007642368220777037,0.050411745503917846,0.0018411085026545089,0.6666666666666666
12,48,0.3,6.0,6,0.179370158628177,0.03529342858925104,0.42352114307101246,0.010588028576775311,-0.000625842560908485,0.0009570858733651236,0.06042409521484513,0.0023053248252528262,0.6666666666666666
12,48,0.4,6.0,1,0.15735787130094847,0.03305696590955491,0.39668359091465893,0.013222786363821966,-0.0008017117418844781,0.0005894187813468719,0.05031542577536877,0.0025707466154965453,0.6666666666666666
12,48,0.4,6.0,2,0.15743353693433892,0.0330649126860016,0.39677895223201914,0.01322596507440064,-0.0006273765329780903,-0.0004937121809754888,0.04914188535643875,0.002178015987543261,0.6666666666666666
12,48,0.4,6.0,3,0.16536225168331548,0.03388729806318326,0.4066475767581992,0.013554919225273306,-0.000298984521644198,-0.0013695915117489367,0.053699893593731264,0.004116288418424741,0.6666666666666666
12,48,0.4,6.0,4,0.15631089081131613,0.03294681012330035,0.3953617214796042,0.013178724049320141,-0.00083699571444322,0.001794510908412158,0.04741754380903283,0.0023758873834633333,0.6666666666666666
12,48,0.4,6.0,5,0.15638329284102762,0.03295443959732593,0.3954532751679111,0.013181775838930371,-0.001313149736980676,7.001016691871957e-05,0.04526312626156486,0.0020388867285693548,0.6666666666666666
12,48,0.4,6.0,6,0.14991399321585425,0.03226560703492685,0.3871872844191222,0.01290624281397074,-0.00030039369350452614,-0.0003522138725657166,0.04760145365910699,0.0018120922771539553,0.6666666666666666
12,56,0.0,6.0,1,0.27594638348520373,0.04377549919485053,0.5253059903382064,0.0,9.442915313698013e-05,-0.0006030217114936479,0.12928715985865133,0.010070872164537075,0.7777777777777778
12,56,0.0,6.0,2,0.2934042444544001,0.045139001710026536,0.5416680205203185,0.0,-0.0014991055259007133,-0.0006397984375882743,0.12560559917363434,0.01073466060666513,0.7777777777777778
12,56,0.0,6.0,3,0.28058959613188833,0.04414225710163677,0.5297070852196413,0.0,5.471460647207538e-06,-0.0007302048711015425,0.1334522020180247,0.011079413266232165,0.7777777777777778
12,56,0.0,6.0,4,0.2652357204892951,0.042917534011405,0.51501040813686,0.0,-0.000272010622500721,-0.00016946064266672322,0.11432191065196891,0.008243112869496754,0.7777777777777778
12,56,0.0,6.0,5,0.28135327756508544,0.0442022873312354,0.5304274479748248,0.0,-0.0007805589854076799,-2.3685981401478744e-05,0.12312956463790581,0.009432564561204983,0.7777777777777778
12,56,0.0,6.0,6,0.27194603231126624,0.043457037557485236,0.5214844506898229,0.0,0.0006628764032430872,-0.0007292808367570683,0.12893512161674392,0.007775328174105169,0.7777777777777778
12,56,0.1,6.0,1,0.26382985195519915,0.042803641780681266,0.5136437013681752,0.004280364178068127,-0.0010934380306909777,2.8433011325882137e-05,0.12073338039974577,0.009096440803597146,0.7777777777777778
12,56,0.1,6.0,2,0.2706310819725719,0.04335184556277179,0.5202221467532615,0.004335184556277179,-0.0015849861306364147,-0.0009375579556920434,0.12332474538624028,0.00981721877787409,0.7777777777777778
12,56,0.1,6.0,3,0.3150161167568445,0.046771913815050706,0.5612629657806085,0.00467719138150507,-0.00019092570447416964,0.0011264151030278557,0.14966960185564548,0.011238216154367807,0.7777777777777778
12,56,0.1,6.0,4,0.3131779869257851,0.04663525631353454,0.5596230757624144,0.004663525631353454,8.142933680783543e-05,-0.0014750937705567094,0.15518446821213805,0.018952781129832584,0.7777777777777778
12,56,0.1,6.0,5,0.2990470338659451,0.045570994206380354,0.5468519304765643,0.004557099420638036,-0.0006507608919264032,0.00038844123887087697,0.13845565911722554,0.008199667686034714,0.7777777777777778
