U,nup,delta,seed,Spipi,M,n
4.0,8,0.2,3,0.11287381583858855,0.3359669862331544,0.4444444444444444
4.0,8,0.3,1,0.11060479034765851,0.3325729849937582,0.4444444444444444
4.0,8,0.3,2,0.11057304996916181,0.3325252621518579,0.4444444444444444
4.0,8,0.3,3,0.11053007328129658,0.3324606341829008,0.4444444444444444
4.0,8,0.4,1,0.10572524571042888,0.32515418759479153,0.4444444444444444
4.0,8,0.4,2,0.10427049023178714,0.3229094149011254,0.4444444444444444
4.0,8,0.4,3,0.10528226131336464,0.324472281271243,0.4444444444444444
4.0,10,0.0,1,0.14899432201548626,0.38599782643881075,0.5555555555555556
4.0,10,0.0,2,0.14993862749944342,0.3872190949571617,0.5555555555555556
4.0,10,0.0,3,0.14794232288709244,0.3846327116706176,0.5555555555555556
4.0,10,0.1,1,0.14716401853242728,0.3836196274077061,0.5555555555555556
4.0,10,0.1,2,0.14951705200249998,0.3866743487774952,0.5555555555555556
4.0,10,0.1,3,0.147223371830371,0.3836969791780631,0.5555555555555556
4.0,10,0.2,1,0.14389560822928277,0.3793357460473278,0.5555555555555556
4.0,10,0.2,2,0.14453662615299762,0.38017972875075495,0.5555555555555556
4.0,10,0.2,3,0.14455767509814899,0.3802074106302361,0.5555555555555556
4.0,10,0.3,1,0.13854237873813668,0.37221281377477683,0.5555555555555556
4.0,10,0.3,2,0.142557029554538,0.37756725169767835,0.5555555555555556
4.0,10,0.3,3,0.13987253104209119,0.3739953623269828,0.5555555555555556
4.0,10,0.4,1,0.1337541294549341,0.3657241165891772,0.5555555555555556
4.0,10,0.4,2,0.1341941759952524,0.3663252325396824,0.5555555555555556
4.0,10,0.4,3,0.13265599299939068,0.36421970429864264,0.5555555555555556
4.0,12,0.0,1,0.19117082562805202,0.4372308607910151,0.6666666666666666
4.0,12,0.0,2,0.19744330085170358,0.4443459247609947,0.6666666666666666
4.0,12,0.0,3,0.19645147332746865,0.4432284662873862,0.6666666666666666
4.0,12,0.1,1,0.19448566769825054,0.4410052921431335,0.6666666666666666
4.0,12,0.1,2,0.1969271655262989,0.4437647637276972,0.6666666666666666
4.0,12,0.1,3,0.19507463012414725,0.4416725372084473,0.6666666666666666
4.0,12,0.2,1,0.18919887045869074,0.4349699650075747,0.6666666666666666
4.0,12,0.2,2,0.1875678118164114,0.4330909971546527,0.6666666666666666
4.0,12,0.2,3,0.1901428150172016,0.43605368364136265,0.6666666666666666
4.0,12,0.3,1,0.17999487403074083,0.42425802765621395,0.6666666666666666
4.0,12,0.3,2,0.18351250856080803,0.42838359978039314,0.6666666666666666
4.0,12,0.3,3,0.1799523455215237,0.4242079036528241,0.6666666666666666
4.0,12,0.4,1,0.16981068747437106,0.41208092345359915,0.6666666666666666
4.0,12,0.4,2,0.17080931154994322,0.4132908316790287,0.6666666666666666
4.0,12,0.4,3,0.17072921646124542,0.4131939211329777,0.6666666666666666
4.0,14,0.0,1,0.23242235175094822,0.48210201384245244,0.7777777777777778
4.0,14,0.0,2,0.2294646983652268,0.47902473669449136,0.7777777777777778
4.0,14,0.0,3,0.2312655944907008,0.48090081564778075,0.7777777777777778
4.0,14,0.1,1,0.22886557372174782,0.4783989691896794,0.7777777777777778
4.0,14,0.1,2,0.2345312421827134,0.48428425762429383,0.7777777777777778
4.0,14,0.1,3,0.2343826309934814,0.4841307994679551,0.7777777777777778
4.0,14,0.2,1,0.22693506340281977,0.4763770181304087,0.7777777777777778
4.0,14,0.2,2,0.2269724213051117,0.47641622695402774,0.7777777777777778
4.0,14,0.2,3,0.22268811103953207,0.4718984117789888,0.7777777777777778
4.0,14,0.3,1,0.24499452765332452,0.49496921889479606,0.7777777777777778
4.0,14,0.3,2,0.24861594921983937,0.4986140283022925,0.7777777777777778
4.0,14,0.3,3,0.2507539733078167,0.5007534056876864,0.7777777777777778
4.0,14,0.4,1,0.24193604771758076,0.49186995000465394,0.7777777777777778
4.0,14,0.4,2,0.2413356102458971,0.49125920881536367,0.7777777777777778
4.0,14,0.4,3,0.23692993270635623,0.48675448914864283,0.7777777777777778
4.0,16,0.0,1,0.28636782777097386,0.5351334672499692,0.8888888888888888
4.0,16,0.0,2,0.28855587394359655,0.5371739699050919,0.8888888888888888
4.0,16,0.0,3,0.2844244829344961,0.5333146190894228,0.8888888888888888
4.0,16,0.1,1,0.24897814174000402,0.498977095406196,0.8888888888888888
4.0,16,0.1,2,0.25407868939670897,0.5040621880251572,0.8888888888888888
4.0,16,0.1,3,0.24524963239152112,0.4952268494251105,0.8888888888888888
4.0,16,0.2,1,0.2539118501962088,0.5038966661888217,0.8888888888888888
4.0,16,0.2,2,0.25426006514238736,0.5042420699846328,0.8888888888888888
4.0,16,0.2,3,0.25300537067287876,0.5029963923060271,0.8888888888888888
4.0,16,0.3,1,0.349014703207995,0.5907746636476509,0.8888888888888888
4.0,16,0.3,2,0.3390674490803441,0.5822949845914389,0.8888888888888888
4.0,16,0.3,3,0.36626838001766215,0.6052011070856217,0.8888888888888888
