L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.28,2.0,2,1,1,9.532456781451916,-7.238427643187879,35.382868548104014,2.741363599786625,66.68917355105418,1.0066146789708417,69.98821662594517,-0.8279746120316428,1.0
12,72,0.28,2.0,3,1,1,9.499590757173896,-7.25508493152986,35.39219223967073,2.756626743878054,66.61506538993332,1.0324173695935548,69.44205811966931,-1.3955831576906506,1.0
12,72,0.28,2.0,4,1,1,9.522666664101148,-7.242450399980958,35.38875086337675,2.7504698594634585,66.67209328931649,1.1550726516633998,70.18024933222026,-0.8150795659177769,1.0
12,72,0.28,2.0,5,1,1,9.517641710880495,-7.252402811717443,35.378068784635744,2.7363368541983446,66.76332308815132,1.1503493310731732,69.72860504451558,-1.2145111620198703,1.0
12,72,0.28,2.0,6,1,1,9.524041032460184,-7.233684831104355,35.37896917946593,2.751949966139996,66.89772550183133,1.3748908012906085,69.78084359680327,-1.0727214595314734,1.0
12,72,0.26,2.0,1,1,1,9.527672927785504,-7.291678379935149,35.71701664172435,2.8259372681437047,67.18742796787225,1.0914192648548464,70.66691624590263,-0.750044704434008,1.0
12,72,0.26,2.0,2,1,1,9.512535107035456,-7.299186972975858,35.69069210469068,2.8041247509518357,67.32047442691409,1.1963181535837433,70.25793024870788,-0.9926461568952558,1.0
12,72,0.26,2.0,3,1,1,9.54065622269421,-7.290282136575985,35.71073814923109,2.822565138582596,67.43505545603476,1.2603072046252266,70.53716301611696,-0.9297296927521772,1.0
12,72,0.26,2.0,4,1,1,9.52381645444454,-7.299127644142226,35.71224218075147,2.816849431718125,67.52769138609385,1.4127931818086945,70.94404940849147,-0.3414408652894454,1.0
12,72,0.26,2.0,5,1,1,9.534296716102494,-7.31359148216161,35.735434333536276,2.8147587943877954,67.32844894970674,1.0618937865523863,70.44472856982136,-0.8157123778023736,1.0
12,72,0.26,2.0,6,1,1,9.513954594199614,-7.310426620961428,35.7150704450179,2.815231576628769,67.4189688642568,1.2248428055439444,71.24753457472814,-0.0198054883942309,1.0
12,72,0.26,2.0,1,-1,1,9.411096683366,-7.384661468722908,37.85330558960117,2.669030801645728,81.85562840293835,2.5788852315320887,52.36772267406608,3.1051167493209237,1.0
12,72,0.26,2.0,2,-1,1,9.420595267385716,-7.413931668556596,37.74777320988093,2.563551737024427,81.22469176420039,1.6994644995282997,52.43993024270081,3.096438744326815,1.0
12,72,0.26,2.0,3,-1,1,9.40705122613937,-7.37871327783873,37.81362526667112,2.623930858083225,81.76053656960599,2.5977553301812506,52.31598918777924,3.059642744996858,1.0
