folder,L,U,tA,tt,NUP,NDN,E_used,ms_used,E_best,ms_best,gap,best_seed,verdict,n,delta,half,dms
L10n1.000u3.5tA-0.3000tt0.3N50,10.0,3.5,-0.3,0.3,50.0,50.0,-92.933636,0.1391,-92.935411,0.139,0.001775,neel,WORSE_TRIAL_same_order,1.0,0.3,True,9.999999999998899e-05
L10n1.000u3tA-0.5000tt0.3N50,10.0,3.0,-0.5,0.3,50.0,50.0,-125.094616,0.0623,-125.094616,0.0623,-0.0,neel,OK,1.0,0.5,True,0.0
L8n1.000u2tA-0.3000tt0.3N32,8.0,2.0,-0.3,0.3,32.0,32.0,-83.242521,0.0585,-83.242525,0.0584,3e-06,random,OK,1.0,0.3,True,0.00010000000000000286
L10n1.000u0tA-0.6000tt0.3N50,10.0,0.0,-0.6,0.3,50.0,50.0,-211.20541,0.0,-211.20541,0.0,0.0,neel,OK,1.0,0.6,True,0.0
L8n1.000u3tA-0.5000tt0.3N32,8.0,3.0,-0.5,0.3,32.0,32.0,-80.125413,0.0829,-80.125413,0.0829,0.0,neel,OK,1.0,0.5,True,0.0
L10n1.000u3.5tA-0.2000tt0.3N50,10.0,3.5,-0.2,0.3,50.0,50.0,-88.558773,0.6025,-88.558773,0.6025,0.0,neel,OK,1.0,0.2,True,0.0
L8n1.000u4tA-0.5000tt0.3N32,8.0,4.0,-0.5,0.3,32.0,32.0,-64.333586,0.1507,-64.333586,0.1507,-0.0,neel,OK,1.0,0.5,True,0.0
L8n1.000u0tA-0.6000tt0.3N32,8.0,0.0,-0.6,0.3,32.0,32.0,-135.124822,0.0,-135.124822,0.0,0.0,neel,OK,1.0,0.6,True,0.0
L8n1.000u4tA-0.4000tt0.3N32,8.0,4.0,-0.4,0.3,32.0,32.0,-56.851089,0.4865,-57.713379,0.1751,0.86229,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.3114
L10n1.000u4tA-0.1000tt0.3N50,10.0,4.0,-0.1,0.3,50.0,50.0,-80.040465,0.6854,-80.040465,0.6854,0.0,random,OK,1.0,0.1,True,0.0
L8n1.000u4.5tA-0.3000tt0.3N32,8.0,4.5,-0.3,0.3,32.0,32.0,-48.662631,0.701,-48.662631,0.701,-0.0,neel,OK,1.0,0.3,True,0.0
L10n1.000u3tA-0.7000tt0.3N50,10.0,3.0,-0.7,0.3,50.0,50.0,-148.035272,0.0524,-148.035272,0.0524,-0.0,neel,OK,1.0,0.7,True,0.0
L10n1.000u3.5tA-0.5000tt0.3N50,10.0,3.5,-0.5,0.3,50.0,50.0,-112.664622,0.089,-112.664622,0.089,0.0,neel,OK,1.0,0.5,True,0.0
L10n1.000u5tA-0.2000tt0.3N50,10.0,5.0,-0.2,0.3,50.0,50.0,-69.022983,0.7614,-69.022983,0.7614,-0.0,neel,OK,1.0,0.2,True,0.0
L8n1.000u4.5tA-0.6000tt0.3N32,8.0,4.5,-0.6,0.3,32.0,32.0,-63.599003,0.1746,-63.599003,0.1746,-0.0,neel,OK,1.0,0.6,True,0.0
L8n1.000u4.5tA-0.4000tt0.3N32,8.0,4.5,-0.4,0.3,32.0,32.0,-50.99849,0.5492,-50.99849,0.5492,-0.0,neel,OK,1.0,0.4,True,0.0
L10n1.000u0tA-0.1000tt0.3N50,10.0,0.0,-0.1,0.3,50.0,50.0,-167.038372,0.0,-167.038372,0.0,-0.0,neel,OK,1.0,0.1,True,0.0
L10n1.000u3tA-0.1000tt0.3N50,10.0,3.0,-0.1,0.3,50.0,50.0,-95.211484,0.5587,-95.211484,0.5587,-0.0,neel,OK,1.0,0.1,True,0.0
L10n1.000u4.5tA-0.7000tt0.3N50,10.0,4.5,-0.7,0.3,50.0,50.0,-110.817771,0.1268,-110.817771,0.1268,-0.0,neel,OK,1.0,0.7,True,0.0
beta16_L8n1.000u3tA-0.2000tt0.3N32,8.0,3.0,-0.2,0.3,32.0,32.0,-62.89892,0.4313,-62.89892,0.4313,0.0,neel,OK,1.0,0.2,True,0.0
L10n1.000u3tA-0.4000tt0.3N50,10.0,3.0,-0.4,0.3,50.0,50.0,-114.59935,0.0723,-114.59935,0.0723,-0.0,neel,OK,1.0,0.4,True,0.0
L8n1.000u5tA-0.1000tt0.3N32,8.0,5.0,-0.1,0.3,32.0,32.0,-43.7724,0.77,-43.7724,0.77,-0.0,neel,OK,1.0,0.1,True,0.0
beta48_L8n1.000u5tA-0.4000tt0.3N32,8.0,5.0,-0.4,0.3,32.0,32.0,-45.966707,0.7225,-45.966707,0.7225,-0.0,neel,OK,1.0,0.4,True,0.0
L4n1.000u4.0tA-0.2000tt0.3N8,4.0,4.0,-0.2,0.3,8.0,8.0,-12.566555,0.7045,-12.566555,0.7045,0.0,neel,OK,1.0,0.2,True,0.0
beta48_L8n1.000u3tA-0.2000tt0.3N32,8.0,3.0,-0.2,0.3,32.0,32.0,-62.89892,0.4313,-62.89892,0.4313,0.0,neel,OK,1.0,0.2,True,0.0
beta48_L8n1.000u4tA-0.3000tt0.3N32,8.0,4.0,-0.3,0.3,32.0,32.0,-53.027648,0.6452,-53.027648,0.6452,-0.0,neel,OK,1.0,0.3,True,0.0
beta16_L8n1.000u4tA-0.3000tt0.3N32,8.0,4.0,-0.3,0.3,32.0,32.0,-53.027648,0.6452,-53.027648,0.6452,-0.0,neel,OK,1.0,0.3,True,0.0
L12n1.000u0tA-0.4000tt0.3N72,12.0,0.0,-0.4,0.3,72.0,72.0,-272.846004,0.0,-272.846004,0.0,-0.0,neel,OK,1.0,0.4,True,0.0
beta16_L8n1.000u5tA-0.4000tt0.3N32,8.0,5.0,-0.4,0.3,32.0,32.0,-45.966707,0.7225,-45.966707,0.7225,-0.0,neel,OK,1.0,0.4,True,0.0
L12n1.000u5tA-0.1000tt0.3N72,12.0,5.0,-0.1,0.3,72.0,72.0,-98.492826,0.7698,-98.492826,0.7698,0.0,neel,OK,1.0,0.1,True,0.0
