L,nup,delta,U,seed,chi_son_full,chi_son_full_err,chi_son_vertex,chi_son_vertex_err,chi_sext_full,chi_sext_full_err,chi_sext_vertex,chi_sext_vertex_err,chi_d_full,chi_d_full_err,chi_d_vertex,chi_d_vertex_err,chi_dxy_full,chi_dxy_full_err,chi_dxy_vertex,chi_dxy_vertex_err,n
8,21,0.0,0.0,5,39.63959377250963,0.0,-5.324629626102251e-15,3.7495898681715724e-16,46.49420700468536,1.1234667099445444e-15,-1.56052948341312e-14,7.895688849149249e-16,231.02384085062417,6.597342429268486e-14,1.289279794036702e-13,9.15432187768587e-15,180.46899500028417,2.5179292702890133e-13,7.158718062783011e-15,1.0986803311137744e-14,0.65625
8,21,0.0,0.0,6,39.63959377250963,0.0,-5.324629626102251e-15,3.7495898681715724e-16,46.49420700468536,1.1234667099445444e-15,-1.56052948341312e-14,7.895688849149249e-16,231.02384085062417,6.597342429268486e-14,1.289279794036702e-13,9.15432187768587e-15,180.46899500028417,2.5179292702890133e-13,7.158718062783011e-15,1.0986803311137744e-14,0.65625
8,25,0.0,0.0,1,27.443778913547124,0.0,-1.8474111129762605e-15,1.530401263591083e-16,22.102577286760383,0.0,1.3613554727953672e-14,2.6066466749615877e-16,219.14824307779645,0.0,-1.0455636356709875e-13,1.3797502277280312e-15,116.84441469124268,2.2469334198890887e-15,-3.844036200462142e-14,1.0332840381823025e-15,0.78125
8,25,0.0,0.0,2,27.443778913547124,0.0,-1.8474111129762605e-15,1.530401263591083e-16,22.102577286760383,0.0,1.3613554727953672e-14,2.6066466749615877e-16,219.14824307779645,0.0,-1.0455636356709875e-13,1.3797502277280312e-15,116.84441469124268,2.2469334198890887e-15,-3.844036200462142e-14,1.0332840381823025e-15,0.78125
8,25,0.0,0.0,3,27.443778913547124,0.0,-1.8474111129762605e-15,1.530401263591083e-16,22.102577286760383,0.0,1.3613554727953672e-14,2.6066466749615877e-16,219.14824307779645,0.0,-1.0455636356709875e-13,1.3797502277280312e-15,116.84441469124268,2.2469334198890887e-15,-3.844036200462142e-14,1.0332840381823025e-15,0.78125
8,25,0.0,0.0,4,27.443778913547124,0.0,-1.8474111129762605e-15,1.530401263591083e-16,22.102577286760383,0.0,1.3613554727953672e-14,2.6066466749615877e-16,219.14824307779645,0.0,-1.0455636356709875e-13,1.3797502277280312e-15,116.84441469124268,2.2469334198890887e-15,-3.844036200462142e-14,1.0332840381823025e-15,0.78125
8,25,0.0,0.0,5,27.443778913547124,0.0,-1.8474111129762605e-15,1.530401263591083e-16,22.102577286760383,0.0,1.3613554727953672e-14,2.6066466749615877e-16,219.14824307779645,0.0,-1.0455636356709875e-13,1.3797502277280312e-15,116.84441469124268,2.2469334198890887e-15,-3.844036200462142e-14,1.0332840381823025e-15,0.78125
8,25,0.0,0.0,6,27.443778913547124,0.0,-1.8474111129762605e-15,1.530401263591083e-16,22.102577286760383,0.0,1.3613554727953672e-14,2.6066466749615877e-16,219.14824307779645,0.0,-1.0455636356709875e-13,1.3797502277280312e-15,116.84441469124268,2.2469334198890887e-15,-3.844036200462142e-14,1.0332840381823025e-15,0.78125
8,28,0.0,0.0,1,21.24367733275559,0.0,-1.829203455372408e-14,1.1110886611176929e-16,22.102577286760383,0.0,2.06362704702201e-14,2.625538818400142e-16,119.94661778513262,1.004859173557616e-15,5.1789683652714304e-14,9.73071308992572e-16,106.09654833552858,2.5618982671915017e-15,-1.3855583347321952e-14,1.28070277353316e-15,0.875
8,28,0.0,0.0,2,21.24367733275559,0.0,-1.829203455372408e-14,1.1110886611176929e-16,22.102577286760383,0.0,2.06362704702201e-14,2.625538818400142e-16,119.94661778513262,1.004859173557616e-15,5.1789683652714304e-14,9.73071308992572e-16,106.09654833552858,2.5618982671915017e-15,-1.3855583347321952e-14,1.28070277353316e-15,0.875
