L,U,delta,dtot_raw,net,P_d,P_dxy,dtot_N,son,sext,d,dxy
10,3.5,0.5,0.8283972710000004,-2.9000000061063513e-08,0.000536174378258248,0.0006192126194239353,0.008283972710000004,-0.146439524,0.366731406,0.063404801,0.325066628
10,3.5,0.6,0.7276373359999998,-2.3999999806956218e-08,0.0003997545616229974,0.0006043148099966708,0.007276373359999998,-0.141521374,0.33983405,0.053262878,0.318067252
10,3.5,0.7,0.6111134340000005,-2.6000000125092626e-08,0.000565366475529731,0.0005103479648458409,0.006111134340000005,-0.136817372,0.3161991,0.051612425,0.307101468
10,3.0,0.1,2.384538134,-1.0400000029220369e-07,0.0016476007438211491,-0.0012074395117144194,0.02384538134,-0.07772535,0.389925479,0.167940084,-0.007687158
10,3.0,0.2,8.117279232,8.999999989711682e-08,0.00034716348836273745,-0.06928535709833933,0.08117279231999999,-0.111231699,0.389723897,0.105044621,0.075416867
10,3.0,0.3,6.366691770999998,-6.2999999939084e-08,-0.0029681110110757513,-0.03657805156823165,0.06366691770999998,-0.112367506,0.366470931,0.107183818,0.144153537
10,3.0,0.4,0.6502548290000002,-4.999999789201404e-09,-3.6715359213688325e-05,0.0005010929701342101,0.006502548290000002,-0.13989856,0.342378426,0.048658727,0.278152848
10,3.0,0.5,0.5881675069999998,-1.1000000195438009e-08,-0.0003536502001787803,0.0004260987609712368,0.005881675069999997,-0.134633075,0.316488504,0.049998554,0.277171999
10,3.0,0.6,0.5034693489999998,7.0000004716297415e-09,0.000152274708668814,0.0003583062431190675,0.005034693489999999,-0.129519475,0.293243839,0.048505146,0.270961792
10,3.0,0.7,0.4455582540000006,-3.999999557274814e-09,0.000431522282427711,0.00035653318524002175,0.004455582540000006,-0.124695697,0.272716168,0.047317441,0.261933507
10,4.5,0.1,2.2765508910000003,-1.369999999972782e-07,-0.0003349728774382856,0.00042831045798568393,0.022765508910000003,-0.066471564,0.477505688,0.22811523,-0.022140788
10,4.5,0.2,4.471083999999999,-2.840000003223597e-07,0.00016667446929766948,-5.480228951443799e-05,0.044710839999999995,-0.07159228,0.482328998,0.221429703,-0.007709074
