apx,U,delta,seed,chi_d,chi_dxy,M,n
1,2.0,0.3,1,0.3693017441855152,-0.45017132091712925,0.4746112033106036,1.0
1,2.0,0.3,2,0.2476296165311333,-0.2448912793343565,0.4781546215631197,1.0
1,2.0,0.3,3,0.15694883685891572,-0.35058301730128855,0.472970325472215,1.0
1,2.0,0.4,1,0.035477448632259066,0.7350638525173798,0.4395962005733425,1.0
1,2.0,0.4,2,0.08675432597560209,0.7421974521130007,0.44048513780629756,1.0
1,2.0,0.4,3,0.060679495710300256,0.7599496336585034,0.44058659675662165,1.0
1,4.0,0.0,1,1.0260810597500165,0.15318388726599547,0.5976043598544273,1.0
1,4.0,0.0,2,0.9217749875677445,0.2377285432619265,0.6008866184842826,1.0
1,4.0,0.0,3,0.6086410936923324,0.210634372250166,0.6093912731557193,1.0
1,4.0,0.1,1,0.6495113462633239,1.512776719490816,0.559935676713417,1.0
1,4.0,0.1,2,0.5436303120160177,1.551623613837636,0.5785780911640775,1.0
1,4.0,0.1,3,0.46581233567814395,1.5286597335730314,0.5707777841498612,1.0
1,4.0,0.2,1,0.4707918085408885,0.9914858472806017,0.5402016296642778,1.0
1,4.0,0.2,2,0.4551339760376685,0.9636499363487511,0.5574507738858074,1.0
1,4.0,0.2,3,0.49524704069519965,1.0081137904891038,0.5447317543583173,1.0
1,4.0,0.3,1,0.42732441412049127,0.849669512668842,0.5202395315414704,1.0
1,4.0,0.3,2,0.4350752346950129,0.9260459239661525,0.5199813091604487,1.0
1,4.0,0.3,3,0.41247630448481887,0.9157123675592018,0.5193754379360169,1.0
1,4.0,0.4,1,0.28125831654175304,1.3755133233368837,0.4737066868434468,1.0
1,4.0,0.4,2,0.3311609299767169,1.4241332420613377,0.47593116876484715,1.0
1,4.0,0.4,3,0.24205677296510503,1.3636148768556957,0.48114586417837685,1.0
1,6.0,0.0,1,1.328024968979426,0.09869470414039662,0.6231592762511341,1.0
1,6.0,0.0,2,1.3203589129824942,-0.18414020152528812,0.7176594718385289,1.0
1,6.0,0.0,3,1.364486392064709,-0.20135892758023027,0.6840239958160794,1.0
1,6.0,0.1,1,1.0057664824522878,0.43054957635118346,0.6549766180746406,1.0
1,6.0,0.1,2,1.208536449402444,0.6917391973506188,0.7033807345809279,1.0
1,6.0,0.1,3,1.1228495651901516,0.6669640372537506,0.6495009830181996,1.0
1,6.0,0.2,1,1.0160204668818917,0.8348245915920127,0.6032542006963498,1.0
1,6.0,0.2,2,0.9890666529656678,1.0524313472249607,0.6042700990288777,1.0
1,6.0,0.2,3,1.010024106681256,0.9628952809239401,0.6367719312016111,1.0
1,6.0,0.3,1,0.937408350983113,1.2664904579981442,0.5802645525924076,1.0
1,6.0,0.3,2,0.8597739533818374,1.1262558720101008,0.582722068173162,1.0
1,6.0,0.3,3,0.7823569659568225,1.235894891145873,0.5684170838649479,1.0
1,6.0,0.4,1,0.6822501764790078,1.6577228769494616,0.5116756649650877,1.0
1,6.0,0.4,2,0.5729774171627267,1.5988350074066375,0.5388938704664402,1.0
1,6.0,0.4,3,0.6113026518021767,1.5204200229148763,0.5257854143394046,1.0
1,8.0,0.0,1,1.5140810253539219,-0.20992272432360098,0.7183484489862919,1.0
1,8.0,0.0,2,1.3429838861608505,-0.6886302572979826,0.7874460268338791,1.0
1,8.0,0.0,3,1.3326203608151475,-0.46864847474007015,0.6722481327831064,1.0
