L,U,delta,nseed,son,son_err,sext,sext_err,d,d_err,dxy,dxy_err
10,0.0,0.3,6,3.6439740114246885e-14,0.0,-4.038047674015389e-14,2.8223145741859218e-30,-2.803091092573595e-14,0.0,-7.436717908149149e-14,0.0
10,0.0,0.4,6,4.088507310484603e-14,2.8223145741859218e-30,3.093802991571693e-14,2.8223145741859218e-30,-1.3392842390658188e-13,1.1289258296743687e-29,1.5667245278905285e-13,1.1289258296743687e-29
10,0.0,0.5,6,-1.8407497748285094e-14,1.4111572870929609e-30,-1.250505254901668e-13,1.1289258296743687e-29,3.671729587040318e-14,0.0,9.852119120523641e-14,0.0
10,0.0,0.6,6,-6.723510637129948e-14,0.0,6.262268481549429e-14,5.6446291483718436e-30,2.804156906677235e-13,0.0,-6.007749853154111e-14,0.0
10,0.0,0.7,6,2.0436985437299883e-14,0.0,-2.898375983662049e-14,0.0,-3.087308186877635e-14,0.0,-1.1679546219056644e-15,8.819733044331006e-32
10,2.0,0.1,6,-5.388523667267503,0.0026893378856484114,2.2657227172846137,0.0013900048525060252,2.734531401986953,0.08850591131424522,-0.5391507160649401,0.020222557899417664
10,2.0,0.2,6,-5.195715819979917,0.006714002425966814,2.08164962912141,0.0025062843297619037,0.7749323355261263,0.014377579221742345,-0.09369285419568452,0.08720101272691262
10,2.0,0.3,6,-4.99331278818119,0.001967928633427931,1.8604295426369646,0.0012264280337017223,0.6999857539309221,0.02110584140375842,2.428951353312661,0.01179424184545575
10,2.0,0.4,6,-4.61975374086945,0.002509965555587703,1.6495796338390545,0.001197061275159855,0.39174067881611546,0.014286169149025784,2.290117254081482,0.0028332634181779805
10,2.0,0.5,6,-4.299035185117046,0.0028906690566566414,1.4696477606826654,0.001045296789887677,0.3131238870534558,0.009163980475065807,1.8110707750670947,0.0026470047552989264
10,2.0,0.6,6,-4.014181195408655,0.007511791019610364,1.323245141408367,0.0009960211953052769,0.27704890434473106,0.0050172722948862054,1.4513674478531868,0.0008602855102912769
10,2.0,0.7,6,-3.7638640791692666,0.0039044627953324046,1.2047321070740444,0.0013084064964048296,0.24038733115120828,0.01385479549256757,1.1714881585712993,0.0016164826197207554
10,3.0,0.1,6,-4.340054092524242,0.003939296995265821,3.123741803372406,0.003808790320046268,3.1635035424245537,0.08265526210086899,-1.0337319666094689,0.03184194946743287
10,3.0,0.2,6,-4.342723588373627,0.004415503381206332,2.880837958849297,0.002210994448795014,1.3612678749919838,0.033997259476015174,2.143939451189187,0.037388160732724385
10,3.0,0.3,6,-4.24784368699328,0.0017467530253652767,2.5808275753702548,0.0029621539037567265,1.2512165696376412,0.04442251310641306,3.2997968171360856,0.009652932652617675
10,3.0,0.4,6,-4.083362925240377,0.004155152967890165,2.2934386055743263,0.00211550719043082,0.7391783484101876,0.032247679742753256,3.2579279025404593,0.005579603806153972
10,3.0,0.5,6,-3.8997846184253375,0.0012664210135018914,2.0493934024266114,0.001360889070793478,0.6046784172895571,0.020254707861844315,2.7022071908060403,0.0022645943825020096
10,3.0,0.6,6,-3.7131928908635707,0.001027133870011116,1.848025299409616,0.0010666802966977878,0.5055158433892418,0.015260504523888151,2.2406647084736724,0.0013219874636712994
10,3.0,0.7,6,-3.5461364028582447,0.0008944776167224372,1.6844222350671032,0.0011827836397743134,0.44903906028489415,0.013573278866610423,1.8677714965960721,0.0013770937489175838
10,3.5,0.1,6,-3.776771026659091,0.005677096690307197,3.4608248141922098,0.004338519581050029,3.5013183086460953,0.0691728901001105,-1.1920423181798294,0.035446021493269815
10,3.5,0.2,6,-3.816113696178441,0.002466117101728815,3.192889544308491,0.00434957393747157,1.6837840411590141,0.028088898217529253,2.4964863841127127,0.03372748056982891
10,3.5,0.3,6,-3.8078750034869024,0.0015393573079598452,2.879666845266556,0.0018135821585384868,1.5510154733998085,0.04135681341684186,3.631201340206991,0.013954545008753098
10,3.5,0.4,6,-3.724596569232881,0.0014054273373287655,2.561506231342656,0.0020982663349487798,0.9790750750241974,0.020702468636687815,3.656790113135923,0.005422952813697429
10,3.5,0.5,6,-3.6067963922042625,0.0017679345238191908,2.2957349473677393,0.0011046919923512098,0.7606227571239831,0.024619826592859564,3.0906153259528044,0.002711789486416911
10,3.5,0.6,6,-3.47216554153137,0.0013943767592120094,2.0751443170983923,0.0009463639512421243,0.6386965872615038,0.024755416194709747,2.60642742008504,0.0029654282193648488
10,3.5,0.7,6,-3.3372008859748825,0.0011307089761609455,1.8946727656940368,0.0016490336638365613,0.5648675930221263,0.010896461275068712,2.197125205289376,0.0020651950716914945
10,4.0,0.1,6,-3.2419409781228796,0.004890083704977348,3.746210170893568,0.006934007837176698,3.432644044124865,0.03232845796580642,-1.236887147694521,0.06692228018440526
10,4.0,0.2,6,-3.3174581141280886,0.00404166123289147,3.4605728040020813,0.004888799842861866,2.065382164244651,0.051948544143594844,2.706087659331425,0.06774139476095943
10,4.0,0.3,6,-3.3559902485246913,0.007339642803735714,3.1224716094708693,0.005034263271600288,1.7081004332690621,0.07985025404130215,3.793174636029716,0.021577771116451084
10,4.0,0.4,6,-3.3598279304456735,0.0035127878045430544,2.7892431723828595,0.003618994477758877,1.1186970805459933,0.012432457006910359,3.9638198572363437,0.009501409367693425
10,4.0,0.5,6,-3.2952422223683002,0.0013677835355143907,2.508595739047425,0.003260083117614941,0.9656133708309015,0.03861378349318587,3.430664333036354,0.010854229429794372
10,4.0,0.6,6,-3.2044315043345204,0.0010520049738213012,2.2738036727192434,0.0016147680813291016,0.7592861596684246,0.03159643996794705,2.9363145265165524,0.004257195450218281
10,4.0,0.7,6,-3.1060537801170427,0.0014818759309491725,2.0781458170567872,0.002786061855274937,0.6874301070828118,0.020114084724488907,2.5010251922038185,0.002508563478330052
10,4.5,0.1,6,-2.740744859703964,0.022603547686794373,3.876297841273743,0.023617332516246998,3.3428729724966058,0.08574977467240866,-1.078349692660767,0.04051822571597892
10,4.5,0.2,6,-2.8605671439622804,0.005376968841663835,3.6426407316611833,0.007443057955288765,2.283452260076256,0.07511314115932419,2.622743235704539,0.023328424142308405
10,4.5,0.3,6,-2.9365024527597527,0.004994005599787184,3.305813941528694,0.005314939887759217,1.9340535070867926,0.032013644339585465,3.867977864068401,0.023397877480862948
10,4.5,0.4,6,-2.9925466601566235,0.003693673951468631,2.972602112852029,0.0034553858642063467,1.3247976379790567,0.049252905013915965,4.142370903941975,0.018384218050167024
10,4.5,0.5,6,-2.99432619948851,0.0022538641312432107,2.6932449830937824,0.0032037348482135382,1.0847393333555262,0.017793041488506807,3.711791076829409,0.010023691305116243
10,4.5,0.6,6,-2.945286238872446,0.003903723313905951,2.4351586346404184,0.004326377699758252,0.9470212214374144,0.030651344907726953,3.2329620903552656,0.00589431565849472
10,4.5,0.7,6,-2.86827644008195,0.0015367756929547775,2.2400053077972117,0.0022877833747530175,0.7810682551087013,0.02791354916518492,2.783295470823191,0.004287512082318873
10,5.0,0.1,6,-2.307357063676038,0.01769213604600923,3.9244353235058593,0.020067567348541204,3.4179004797801884,0.10433373168175679,-1.0744817042652481,0.05939836911264037
10,5.0,0.2,6,-2.4414257902172634,0.012743672199451403,3.756202158510542,0.016063362689986455,2.522890700437148,0.10519087642065134,2.553620627754277,0.02747522660130162
10,5.0,0.3,6,-2.559801563584547,0.011823873427751595,3.457824424805091,0.010973009528211477,2.193487634076622,0.04968381683269348,3.8539320256765266,0.03261855499269629
10,5.0,0.4,6,-2.6699799861156843,0.0028967405982004363,3.1476190360621406,0.011543207413667766,1.5676108591932154,0.044435247328389466,4.2918191997201545,0.012728119784415867
10,5.0,0.5,6,-2.689379904575995,0.0026520176879713596,2.8403071456101814,0.009035565284382076,1.2705388367786847,0.0399729126592755,3.909495873476899,0.011099089275505155
10,5.0,0.6,6,-2.6791286241026846,0.0031305195661149956,2.5905273614726245,0.003086769621765037,1.0539897936753022,0.022191387860481547,3.4669324282415666,0.003774768949606072
10,5.0,0.7,6,-2.635512476115655,0.0018756017178257207,2.373716957610234,0.0026620463393361594,0.8949524678384075,0.04208193734711588,3.03007794467892,0.005246223293310762
12,0.0,0.1,6,2.827071909905498e-14,0.0,5.870304242705515e-14,0.0,-5.572076133830706e-13,0.0,-3.47313289239537e-13,0.0
12,0.0,0.2,6,2.007727317732133e-14,0.0,1.1546319456101636e-16,0.0,2.719957592489664e-13,0.0,-2.920330643974012e-14,0.0
12,0.0,0.3,6,7.846612248840758e-14,5.6446291483718436e-30,9.611700324541067e-14,5.6446291483718436e-30,-7.638334409421078e-14,0.0,-3.3067770743855373e-13,0.0
12,0.0,0.4,6,2.5277557824665568e-14,1.4111572870929609e-30,-2.7789992529392297e-14,0.0,-2.4755308913881893e-13,0.0,-1.0710543563163812e-13,5.6446291483718436e-30
12,0.0,0.5,6,-4.289013588731906e-14,2.8223145741859218e-30,-1.1819545342461883e-13,1.1289258296743687e-29,-9.414691248821327e-15,0.0,2.7513546996260632e-14,0.0
12,0.0,0.6,6,-1.3291590050812376e-14,7.0557864354648044e-31,-1.8198553775050647e-13,0.0,3.4422242833898064e-13,0.0,-9.193978911525849e-14,0.0
12,0.0,0.7,6,4.584110868677272e-14,2.8223145741859218e-30,-1.2118583914144668e-13,0.0,3.3200109328390683e-14,2.8223145741859218e-30,-2.287725564542598e-14,1.4111572870929609e-30
12,2.0,0.1,6,-7.633792627950183,0.0035543557784270714,3.2587532716244305,0.002384984150321834,3.275095408017919,0.1280842110521495,-1.2260047034850534,0.03610508656915612
