L,nup,delta,U,seed,channel,R,P,bubble,V
12,36,0.6,6.0,2,son,3.605551,-0.0725613763275808,-0.0037890550697137,-0.0687723212578671
12,36,0.6,6.0,2,son,4.0,-0.0426758501747256,0.0057466717683293,-0.048422521943055
12,36,0.6,6.0,2,son,4.123106,-0.0193355508174744,0.1940387351537371,-0.2133742859712116
12,36,0.6,6.0,2,son,4.242641,-0.0248734703767939,0.128199581254187,-0.1530730516309809
12,36,0.6,6.0,2,son,4.472136,0.0623770399018587,0.3742618325905412,-0.3118847926886825
12,36,0.6,6.0,2,son,5.0,0.0027396653579898,0.1585640993443433,-0.1558244339863534
12,36,0.6,6.0,2,son,5.09902,-0.0250031667307888,0.0545414038900168,-0.0795445706208056
12,36,0.6,6.0,2,son,5.385165,-0.0163777384657787,0.0428892653164481,-0.0592670037822268
12,36,0.6,6.0,2,son,5.656854,-0.0225298016056286,0.0445753123493305,-0.0671051139549591
12,36,0.6,6.0,2,son,5.830952,-0.0313288294375769,0.0067108163361273,-0.0380396457737043
12,36,0.6,6.0,2,son,6.0,-0.0032414039450862,0.0540919966539804,-0.0573334005990666
12,36,0.6,6.0,2,son,6.082763,0.0055527581650077,0.0940710934575458,-0.088518335292538
12,36,0.6,6.0,2,son,6.324555,-0.0057659896740607,0.0575143644015112,-0.0632803540755719
12,36,0.6,6.0,2,son,6.403124,-0.0102791982009951,0.008403667771961,-0.0186828659729561
12,36,0.6,6.0,2,son,6.708204,0.0302998618028553,0.0737782777627231,-0.0434784159598678
12,36,0.6,6.0,2,son,7.071068,0.0014405695692164,0.1919473393118229,-0.1905067697426065
12,36,0.6,6.0,2,son,7.211103,0.024504852817231,0.1535063008528852,-0.1290014480356541
12,36,0.6,6.0,2,son,7.81025,0.0001905187962029,-0.0136387843188289,0.0138293031150318
12,36,0.6,6.0,2,son,8.485281,0.012568962794047,0.0901214707662953,-0.0775525079722483
12,36,0.6,6.0,2,sext,0.0,58.2949282109906,63.990410747029294,-5.695482536038696
12,36,0.6,6.0,2,sext,1.0,-0.1145136319933445,4.640263778685809,-4.754777410679154
12,36,0.6,6.0,2,sext,1.414214,-17.005167825557173,-15.069857384199466,-1.9353104413577071
12,36,0.6,6.0,2,sext,2.0,-0.6741157391527463,1.097735722417706,-1.7718514615704524
12,36,0.6,6.0,2,sext,2.236068,2.386441235154652,3.649281776068058,-1.2628405409134065
12,36,0.6,6.0,2,sext,2.828427,3.4358859796553403,4.170836088539458,-0.7349501088841177
12,36,0.6,6.0,2,sext,3.0,0.0370365113214582,1.147446446231139,-1.1104099349096808
12,36,0.6,6.0,2,sext,3.162278,-1.1136461627137622,-0.4352524331298449,-0.6783937295839172
12,36,0.6,6.0,2,sext,3.605551,-0.2949812882008024,0.2947964333307649,-0.5897777215315674
12,36,0.6,6.0,2,sext,4.0,-0.2632046048455104,0.2261008066410381,-0.4893054114865485
12,36,0.6,6.0,2,sext,4.123106,0.6182652582297907,1.1265860652322035,-0.508320807002413
12,36,0.6,6.0,2,sext,4.242641,-0.7049840868878137,-0.4674003487054103,-0.2375837381824033
12,36,0.6,6.0,2,sext,4.472136,0.8442489631675312,0.812017543021528,0.0322314201460032
12,36,0.6,6.0,2,sext,5.0,0.1549905145319076,0.4379914061707744,-0.2830008916388667
12,36,0.6,6.0,2,sext,5.09902,-0.7003989773869864,0.1172915912346674,-0.8176905686216538
12,36,0.6,6.0,2,sext,5.385165,-0.8224128246040887,-0.0621947126358197,-0.760218111968269
12,36,0.6,6.0,2,sext,5.656854,0.408152718277797,0.3024088798291646,0.1057438384486323
12,36,0.6,6.0,2,sext,5.830952,-0.136917410218038,0.0656161049158301,-0.2025335151338681
12,36,0.6,6.0,2,sext,6.0,0.2335335850596282,0.3629758791169972,-0.1294422940573689
12,36,0.6,6.0,2,sext,6.082763,0.2897328498677516,0.4625612594309349,-0.1728284095631833
12,36,0.6,6.0,2,sext,6.324555,-0.0083232872834903,0.2084844663637005,-0.2168077536471908
12,36,0.6,6.0,2,sext,6.403124,0.2170044302127608,0.1472974902382809,0.0697069399744799
12,36,0.6,6.0,2,sext,6.708204,0.1126732956290593,0.2263816086188637,-0.1137083129898044
12,36,0.6,6.0,2,sext,7.071068,-0.5677289589868311,-0.2434603690972789,-0.3242685898895521
12,36,0.6,6.0,2,sext,7.211103,0.6376672636958285,0.2266400725046065,0.4110271911912219
12,36,0.6,6.0,2,sext,7.81025,0.1713177131323914,0.0279726161211535,0.1433450970112378
12,36,0.6,6.0,2,sext,8.485281,0.0488552655568041,0.1176877743736255,-0.0688325088168213
12,36,0.6,6.0,2,d,0.0,159.47259106905975,166.62113360601433,-7.148542536954551
12,36,0.6,6.0,2,d,1.0,4.036111128997175,1.7929303632823448,2.24318076571483
12,36,0.6,6.0,2,d,1.414214,84.3110499664818,90.25751584606246,-5.946465879580657
12,36,0.6,6.0,2,d,2.0,10.36525253552002,11.85688838707463,-1.4916358515546104
12,36,0.6,6.0,2,d,2.236068,8.914504056822166,7.977544184036569,0.9369598727855966
12,36,0.6,6.0,2,d,2.828427,-7.021061612943093,-7.860905868356488,0.8398442554133947
12,36,0.6,6.0,2,d,3.0,5.2455071767221435,4.737495188931498,0.5080119877906455
12,36,0.6,6.0,2,d,3.162278,-3.356472613751437,-4.769713266559187,1.4132406528077497
12,36,0.6,6.0,2,d,3.605551,0.1007868727502739,0.0429696146060838,0.05781725814419
12,36,0.6,6.0,2,d,4.0,-0.0334730525112659,0.0688746805838699,-0.1023477330951359
12,36,0.6,6.0,2,d,4.123106,-1.0389678420635733,-0.8818956321050747,-0.1570722099584985
12,36,0.6,6.0,2,d,4.242641,0.4061810778843761,0.1071762230603833,0.2990048548239927
12,36,0.6,6.0,2,d,4.472136,1.4049007066389518,0.5575519029370273,0.8473488037019246
12,36,0.6,6.0,2,d,5.0,-0.4816360406066692,0.2391984985564858,-0.720834539163155
12,36,0.6,6.0,2,d,5.09902,-0.9463683717227545,-0.2348419044323281,-0.7115264672904262
12,36,0.6,6.0,2,d,5.385165,0.7494742307057035,0.2154490435184489,0.5340251871872546
12,36,0.6,6.0,2,d,5.656854,0.2986966087570037,0.1481428237953693,0.1505537849616344
12,36,0.6,6.0,2,d,5.830952,0.5237945567685426,-0.0159954240349234,0.5397899808034661
12,36,0.6,6.0,2,d,6.0,-0.001089579539562,0.0548868011742114,-0.0559763807137734
12,36,0.6,6.0,2,d,6.082763,0.7285314139899383,0.1528017912536987,0.5757296227362396
12,36,0.6,6.0,2,d,6.324555,0.4695361128757271,0.0863784743910059,0.3831576384847212
12,36,0.6,6.0,2,d,6.403124,-0.4178633564379753,-0.3454535407927062,-0.0724098156452691
12,36,0.6,6.0,2,d,6.708204,0.3984822852820337,0.1680370536837007,0.230445231598333
12,36,0.6,6.0,2,d,7.071068,-0.6496631687472053,-0.473095313883282,-0.1765678548639233
12,36,0.6,6.0,2,d,7.211103,0.9739313276559088,0.6035297930000201,0.3704015346558886
12,36,0.6,6.0,2,d,7.81025,0.5745518943039444,0.1554948291028554,0.419057065201089
12,36,0.6,6.0,2,d,8.485281,-0.1801123650307549,0.0971380037523342,-0.2772503687830893
12,36,0.6,6.0,2,dxy,0.0,82.80470486318549,88.90265258203758,-6.097947718852083
12,36,0.6,6.0,2,dxy,1.0,2.1301329844675867,1.7082619070368086,0.4218710774307781
12,36,0.6,6.0,2,dxy,1.414214,10.836192016761476,14.621248635023935,-3.7850566182624608
12,36,0.6,6.0,2,dxy,2.0,-7.031004443184024,-6.926133092189112,-0.1048713509949124
12,36,0.6,6.0,2,dxy,2.236068,0.1940248531144023,1.625128228812229,-1.4311033756978266
12,36,0.6,6.0,2,dxy,2.828427,-0.6690134457200921,1.8777989990650743,-2.5468124447851666
12,36,0.6,6.0,2,dxy,3.0,0.4364666333478229,1.2596018134057148,-0.8231351800578919
12,36,0.6,6.0,2,dxy,3.162278,3.788540059962814,7.3975019854295585,-3.608961925466744
12,36,0.6,6.0,2,dxy,3.605551,1.2656187610879777,0.4938441290772746,0.7717746320107031
12,36,0.6,6.0,2,dxy,4.0,-1.0544667372220584,-0.6070158102412005,-0.4474509269808578
12,36,0.6,6.0,2,dxy,4.123106,0.7523842400190748,0.4235869863710952,0.3287972536479795
12,36,0.6,6.0,2,dxy,4.242641,2.39861531358638,1.7461912350363904,0.6524240785499895
12,36,0.6,6.0,2,dxy,4.472136,3.90412195295263,3.747008956024135,0.1571129969284945
12,36,0.6,6.0,2,dxy,5.0,0.6151845132393365,0.4497880411163543,0.1653964721229822
12,36,0.6,6.0,2,dxy,5.09902,-0.1432009339941812,0.533180828304636,-0.6763817622988173
12,36,0.6,6.0,2,dxy,5.385165,0.0704972907851238,-0.1507340292246308,0.2212313200097547
12,36,0.6,6.0,2,dxy,5.656854,-0.2401158560436865,0.1101559361127011,-0.3502717921563877
12,36,0.6,6.0,2,dxy,5.830952,-0.830117456490265,-0.092560977604727,-0.737556478885538
12,36,0.6,6.0,2,dxy,6.0,0.793629455161491,-0.014853800109566,0.808483255271057
12,36,0.6,6.0,2,dxy,6.082763,0.1704426606545142,0.0335593623378079,0.1368832983167063
12,36,0.6,6.0,2,dxy,6.324555,-0.8777662173538457,-0.1353323078845092,-0.7424339094693365
12,36,0.6,6.0,2,dxy,6.403124,0.2272999617768207,0.0105292449158773,0.2167707168609433
12,36,0.6,6.0,2,dxy,6.708204,-0.4111782957000689,0.1007896963132512,-0.5119679920133202
12,36,0.6,6.0,2,dxy,7.071068,0.3586635354918767,1.4529056390689283,-1.0942421035770518
