L,n,U,delta,dtot_raw,net,nk,dtot_N,son,sext,d,dxy
12,1.0,4.0,0.2,7.598010819000001,2.049999997116858e-07,144,0.05276396402083334,-0.079104913,0.464719883,0.203977702,0.003696447
12,1.0,4.0,0.3,9.897124056000003,3.1000000010050766e-07,144,0.06873002816666668,-0.089821294,0.457962219,0.18947641,0.056131925
12,1.0,4.0,0.4,6.249421481000001,1.9499999984184946e-07,144,0.043398760284722226,-0.13120621,0.443474598,0.156720815,0.289398578
12,1.0,4.0,0.5,5.148888389000001,1.8100000005738526e-07,144,0.03575616936805556,-0.131039137,0.410102955,0.150317459,0.311543039
12,1.0,4.0,0.6,1.4047238830000002,5.300000014210604e-08,144,0.00975502696527778,-0.152912632,0.383409687,0.064066629,0.368156392
12,1.0,4.0,0.7,1.1437147470000002,3.900000009743332e-08,144,0.007942463520833335,-0.148672317,0.356407424,0.055824707,0.357636791
12,1.0,5.0,0.1,3.2796551050000007,7.299999991994266e-08,144,0.022775382673611115,-0.061507353,0.487637399,0.231126223,-0.021929601
12,1.0,5.0,0.2,6.70321981,1.7399999961698054e-07,144,0.04655013756944445,-0.067412323,0.502524829,0.246864591,-0.01451157
12,1.0,5.0,0.3,9.831302996000002,2.719999997319311e-07,144,0.06827293747222224,-0.073389673,0.501171909,0.228169623,0.01440315
12,1.0,5.0,0.4,12.188440031999999,3.01999999549607e-07,144,0.08464194466666666,-0.087241474,0.501873429,0.214740207,0.074162533
12,1.0,5.0,0.5,8.337730683,3.1099999983630333e-07,144,0.057900907520833336,-0.135523696,0.49766044,0.191618349,0.351745391
12,1.0,5.0,0.6,6.622107724000001,2.4000000037327496e-07,144,0.04598685919444445,-0.138262022,0.462531388,0.168512736,0.3828355
12,1.0,5.0,0.7,5.081414872,1.939999999811537e-07,144,0.035287603277777774,-0.138365037,0.431372894,0.16452612,0.3867984
