L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex
10,29,0.5,4.0,6,0.58,49.27402063787241,-14.256924805348257,11.03671991743304,-19.06986118626912,214.59858523784774,13.586514098638535,27.58189361839385,-9.387285265250304,311.6548341711937,0.3941183676631425,209.13247592613533,-3.099544266423817,229.6532949802942,-0.8966540429651125,67.06740540961418,-15.606979445466106
10,29,0.6,4.0,1,0.58,49.790623306944426,-14.258681532110128,11.581717312679627,-20.632120714793437,210.82527254167417,12.334557843734636,27.6789996453644,-9.490266135498334,315.32980151057774,-1.0265728992675165,214.6753249296985,-4.583113432092704,227.27747525664572,-2.811268192286879,69.29696557626364,-19.217974896359166
10,29,0.6,4.0,2,0.58,49.786166075221416,-14.3205432475748,11.523152690828894,-20.66766093443154,211.00502381887927,12.544133606226112,27.305946778905877,-9.924109374700555,315.84371078212035,-0.39404884267061674,215.86891785211282,-3.150353410607358,228.1549990016906,-1.820980475606835,69.45599730476059,-19.001790905130914
10,29,0.6,4.0,3,0.58,49.71596318978899,-14.261526244430243,11.454713490715204,-20.463030387277108,210.50342715733854,12.12281209044771,27.229582243442753,-9.868367075977275,314.6670060218922,-0.8129146881814819,214.94076224936254,-2.283261207484313,228.0773164857554,-1.6315585499038576,68.92204289173945,-18.83783791718349
10,29,0.6,4.0,4,0.58,49.70793500173855,-14.229216402298476,11.47746865318886,-20.505381055619722,210.61276956567093,12.210375903774894,27.47958909865172,-9.679798042537888,314.4061162544844,-0.756320375958353,215.0677883350707,-2.8254183352465843,228.44050237876382,-0.8674396877739973,70.2220372437713,-17.77384903152669
10,29,0.6,4.0,5,0.58,49.78357142375383,-14.34218485533457,11.5361730771106,-20.786802494762277,210.84223241321257,12.412921535260697,28.190166623919605,-9.263534513493997,315.185181771364,-1.173730578984781,218.4678647379397,-1.2968952761243382,227.30868999797394,-2.542950565875737,69.57551245138922,-18.860282396730675
10,29,0.6,4.0,6,0.58,49.84250606865847,-14.30013894752397,11.601346056116096,-20.670424830790616,211.40649854286525,12.826836663358964,28.004804071714414,-9.344629622794322,316.12886199739734,-0.391566483066633,216.50428240793477,-2.1423055670420394,227.78610137072957,-2.0695858964044973,70.20491555925031,-18.402656236196368
10,29,0.7,4.0,1,0.58,50.18516236055349,-14.041490265824454,11.948255003572536,-21.95421760575593,207.43834743168904,11.190163091727081,27.597210773737505,-9.678223704516522,315.8370461056531,-1.0471745925180656,216.96651982544398,-3.248099868181773,227.69247295817286,-1.1506027872351645,72.33352627258701,-21.105380748341272
10,29,0.7,4.0,2,0.58,50.207106080364085,-14.016532738290218,11.940753845590343,-22.083484011413447,207.3349505512063,11.306927637890505,27.447059631381627,-9.956155949549137,316.3995044285785,-0.7869756880866661,219.0315616588001,-3.2594606892126152,227.2244361981352,-1.2702660791675875,72.14405492434219,-21.524530371709044
10,29,0.7,4.0,3,0.58,50.19378646850704,-13.984869329764582,12.00781017829348,-21.94822351638374,207.52660162779702,11.592580246467898,27.623126320148337,-9.5874059147053,316.1013581829346,-1.2197177161546364,217.63573984255544,-3.670013615852194,226.2459492386547,-2.179373127361783,70.80406396490807,-21.843632545029514
10,29,0.7,4.0,4,0.58,50.21559978537691,-13.982000603516473,12.01147240889631,-21.97550597190606,207.57217967678116,11.625910095876348,27.41798888690196,-9.673025432629023,316.6459530743149,-0.5030728244502967,218.80106552085448,-2.493598477045254,226.58716049473864,-2.0574950879399942,71.98961848633289,-21.916890771317874
10,29,0.7,4.0,5,0.58,50.170972883229055,-14.010618892147018,11.900654291139022,-21.897275881906307,208.1091732162197,12.188214905108286,27.15674371571165,-9.906207455922964,316.9988528340203,-0.06806136043509099,218.57659698619938,-2.276719025697785,226.48803865048362,-2.318993489217567,70.61042899908679,-22.696662584393522
10,29,0.7,4.0,6,0.58,50.14905082541257,-14.059599577463691,11.898101722475712,-21.88824898468132,207.55027047005046,11.50633855713344,27.16609346049786,-10.054578152908679,315.86580929180883,-0.8990971827197498,218.60634467928344,-2.078044020372525,226.36852174697066,-2.2979893507730607,70.93301900737437,-22.109309147266526
10,33,0.5,4.0,1,0.66,43.62416503418232,-15.001893457464277,7.7395032250715134,-12.534334395908948,213.9512317417537,20.07678747143899,23.872572193010637,-4.96119476284142,272.7588614853332,0.4938876400564126,144.46346482050177,-3.190109744980611,219.56482250059108,8.555717874077892,41.22709788077129,-6.878683882439937
10,33,0.5,4.0,2,0.66,43.686586643497726,-14.837227276550262,7.829334998386216,-12.428396986318566,213.96711380043484,19.872934483182657,23.620017351536546,-5.420773074184938,273.64196545936557,1.0798983443303705,146.29901550426553,-1.6116940664235542,219.16703537350077,8.271225344293233,39.92383730559711,-7.418777428669811
10,33,0.5,4.0,3,0.66,43.67831153071466,-15.095304107012538,7.851006742845799,-12.650791248742586,213.95743131851387,20.070098298974102,23.93042058682836,-5.105163371915021,273.9820784541097,0.2836747766095414,147.3095253319357,-2.005279140427989,220.5580436387526,9.481901772207857,42.05661914765083,-5.924411898072774
10,33,0.5,4.0,4,0.66,43.67084197239395,-14.595065283023633,7.75596672385827,-12.316682886488081,213.78990732680637,19.932412242575893,23.88178195185054,-4.996958872442209,274.8702691260052,1.524375012216727,148.8124031740784,-0.39132301083106485,221.17503052000865,10.038539880428768,41.61696884332155,-5.871788411184227
10,33,0.5,4.0,5,0.66,43.608807882708746,-14.890187741730339,7.768112714132476,-12.422896452318067,214.2085771895895,19.95261968559422,23.867554571312013,-5.1186391914131955,272.37955108336894,0.20109326892935755,147.30469856004862,-0.4463841533003321,220.14015132354683,9.340139612915383,42.19360011841427,-5.658364538785319
10,33,0.5,4.0,6,0.66,43.76986470327178,-15.053546046713794,7.824453202809444,-12.643413691532768,213.72272963326427,19.77468511110019,23.690086528374074,-5.303831812049774,273.48569689201656,-0.4541133296852614,146.64701667080763,-1.8875882025212527,220.36469339118713,9.533337880185659,41.76212590204459,-6.179415823015054
10,33,0.6,4.0,1,0.66,44.48309049020926,-14.985583849395587,8.166307857479179,-13.5369585220059,209.43213361278146,18.336216656302962,23.95561464035055,-5.3648721872446785,279.3339939793806,0.15249241885817214,154.4127381815389,-2.78091628128277,220.50411685105126,9.511226410677512,41.660210978784185,-7.443907334684096
10,33,0.6,4.0,2,0.66,44.483579299194204,-14.957830105030316,8.208061950871961,-13.377392671718093,209.07546103480882,18.281135259483797,23.911793482377426,-5.3131626127041685,279.8592248026259,0.7899105686470846,155.46229116526416,-0.3583327245581115,220.32756232706433,9.426814519910144,41.424676120796434,-7.636451611011358
10,33,0.6,4.0,3,0.66,44.46328425866339,-14.935302902593417,8.111254820863532,-13.428767930069139,209.15089607139853,18.38248480885787,23.588105600019112,-5.524471884785257,279.7943947023126,0.9150060005463289,154.62939886741293,-1.1388560140741961,220.57086373697615,9.542222980068477,40.1589903210629,-8.762879700072062
10,33,0.6,4.0,4,0.66,44.327357019289636,-14.835965270731558,8.131871354710544,-13.176203189856006,209.227297895817,18.20432937528944,23.982569660510528,-4.96586548593951,278.44837851532236,0.564689769248561,153.41265343759915,-1.218754041573689,226.31139561099903,15.42681563602955,47.86096330966202,-0.5930195651845853
10,33,0.6,4.0,5,0.66,44.42124012586244,-14.957492122666164,8.079036691504426,-13.482756315787427,209.33152116686523,18.286098522443513,23.858406271816257,-5.409317680044231,279.15621825680364,0.6377882877746288,154.4922141430051,-1.1735961885794868,219.4959182063194,8.704552544945106,40.11463312418111,-8.871961473952226
