L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.1,4.0,1,-1,-1,3.940866293213925,-4.602380286516502,30.0130645544866,4.283957407659941,32.283555846468985,3.0147545993875733,31.59175192570833,-0.6315104298575381,1.0
12,72,0.1,4.0,2,-1,-1,3.958247466226241,-4.633631421281718,29.9856113247074,4.303258357248916,32.40204854359032,2.923727728754541,31.405748515268932,-0.8372734135094492,1.0
12,72,0.1,4.0,3,-1,-1,3.926941685390848,-4.631757312958888,30.142612079794525,4.4345095803823655,32.38800830884614,3.003149606861063,31.733056371118288,-0.698626455163392,1.0
12,72,0.1,4.0,4,-1,-1,3.936018601478651,-4.611667862009805,30.098021577370087,4.4122782322652565,31.930377833958698,2.756591848521872,31.850571563142505,-0.363565886958984,1.0
12,72,0.1,4.0,5,-1,-1,3.9148331108058025,-4.4553787549283035,29.849223912163524,4.105401678281154,31.87847162976717,2.754788022035413,31.46118116310479,-0.3792451330278856,1.0
12,72,0.1,4.0,6,-1,-1,3.9229158589924777,-4.51616019412851,29.86182131794384,4.248730849024139,31.857485380031257,2.6553326254871488,31.406191459608216,-0.6398742665154089,1.0
12,72,0.0,4.0,1,-1,1,3.8264488403096024,-4.439093749784795,30.46206162726912,4.472561362702412,33.34642554868384,3.713469907771196,38.148895676360695,-1.1615859979290992,1.0
12,72,0.0,4.0,2,-1,1,3.81065407804516,-4.4763243425807735,30.52211582118831,4.468481918666048,32.738881242299406,3.1682967996633713,38.34601805923775,-1.1813123671598806,1.0
12,72,0.0,4.0,3,-1,1,3.788268514761788,-4.369406590388001,30.3922023641528,4.393431183084125,33.27602642751905,3.656338323600512,37.94502406151049,-0.9028646131164396,1.0
12,72,0.0,4.0,4,-1,1,3.801486375679436,-4.437492773397168,30.510546067510926,4.507771673797626,33.50875988776957,3.9068537942138297,38.18905240551794,-0.9164060989071604,1.0
12,72,0.0,4.0,5,-1,1,3.8194679259832087,-4.453803115350212,30.619671244959285,4.528944657118134,33.989487325311515,4.164980344721255,37.755771088323215,-1.405747856933407,1.0
12,72,0.0,4.0,6,-1,1,3.8274310895029577,-4.423395184083443,30.541778381506607,4.482785346551493,33.62288893252365,3.87659738473387,39.04567587650475,-0.743860836946947,1.0
12,72,0.1,4.0,1,-1,1,3.866115918772427,-4.515655372193126,30.31903423015661,4.427400908706538,31.79908838973656,3.214137091745742,39.61557527660051,-0.8414635600152017,1.0
12,72,0.1,4.0,2,-1,1,3.863479908428362,-4.494546722183644,30.16515640939849,4.288394556915857,31.288277941306905,2.8806828227277252,39.37392781559706,-1.062421711409065,1.0
12,72,0.1,4.0,3,-1,1,3.864166510831031,-4.453321776647571,30.17817678714736,4.236839945149894,32.135078831757646,3.5064616611234554,38.617452327538615,-1.6247332432723496,1.0
12,72,0.1,4.0,4,-1,1,3.848939743989541,-4.343424288685433,30.24527104926283,4.262142815097258,32.08739000329019,3.467725553250048,38.92427459946081,-1.1528475570943628,1.0
12,72,0.1,4.0,5,-1,1,3.8698408160974496,-4.52354355163005,30.289180907513675,4.314778955329356,32.24740003600776,3.883760003168491,39.55398125643935,-1.0774147748251688,1.0
12,72,0.1,4.0,6,-1,1,3.8497597839503377,-4.487071481532744,30.17214184677545,4.31182585355432,32.42119244846424,3.7093696702927375,39.11032990053186,-1.1670531217100315,1.0
12,72,0.2,4.0,1,-1,1,3.9998321508336248,-4.648809199855124,29.519687160692957,4.263170622411173,35.02881381942827,3.260818662069788,36.37666966496725,1.1798905651039575,1.0
12,72,0.2,4.0,2,-1,1,3.9865814645484527,-4.581407073909556,29.484237992885973,4.224798612217892,35.24881802768759,3.580826922666499,35.83922749818622,1.0814692808317754,1.0
12,72,0.2,4.0,3,-1,1,3.965800546543368,-4.48604796479289,29.46270904232042,4.216696348572996,35.03803458972774,3.5466449395578294,35.74418758775786,0.9434243071811246,1.0
12,72,0.2,4.0,4,-1,1,3.970886825116493,-4.555035654129212,29.30883032717959,4.156513170362253,34.791241686602135,3.476929096625193,35.72066611687871,0.9141925555009444,1.0
12,72,0.2,4.0,5,-1,1,3.987924423889362,-4.593505870421606,29.37604841846919,4.195182099041206,34.28830271622892,3.000261963481335,35.53475619643289,0.37931947346574,1.0
12,72,0.2,4.0,6,-1,1,3.9742342829166217,-4.548379498589961,29.471955202822265,4.254397507806855,34.380521944141854,3.24912485546463,35.87199941967261,0.8605069286047277,1.0
12,72,0.3,4.0,1,-1,1,4.19195183869032,-4.7170221579475715,29.041462794202378,3.971606577053595,37.46938015137187,2.9809379038981043,35.36362307957985,4.445012865435146,1.0
12,72,0.3,4.0,2,-1,1,4.164066152364763,-4.702130865935556,28.935217234974058,4.004283624854045,36.46780873690167,2.304667543130332,35.235480526346024,4.463989224551069,1.0
12,72,0.3,4.0,3,-1,1,4.161415841814978,-4.740284315148765,28.959532250509312,4.007712114759775,37.53118547816739,3.0778227371902114,35.16163648958652,4.3444661193017815,1.0
