L,U,n,delta,seed,qx,qy,kind,S_peak,S_pipi,m_peak,m_pipi
10,0.0,0.56,0.4,4,1.0,1.4,spiral,0.13577934095800473,0.12235161107970607,0.03684824839229196,0.034978795159311314
10,0.0,0.56,0.4,5,1.0,1.4,spiral,0.13577934095800473,0.12235161107970607,0.03684824839229196,0.034978795159311314
10,0.0,0.56,0.4,6,1.0,1.4,spiral,0.13577934095800473,0.12235161107970607,0.03684824839229196,0.034978795159311314
10,0.0,0.56,0.5,1,0.0,1.0,stripe,0.13738496822930998,0.10400700322529262,0.03706547830924484,0.0322501167789037
10,0.0,0.56,0.5,2,0.0,1.0,stripe,0.13738496822930998,0.10400700322529262,0.03706547830924484,0.0322501167789037
10,0.0,0.56,0.5,3,0.0,1.0,stripe,0.13738496822930998,0.10400700322529262,0.03706547830924484,0.0322501167789037
10,0.0,0.56,0.5,4,0.0,1.0,stripe,0.13738496822930998,0.10400700322529262,0.03706547830924484,0.0322501167789037
10,0.0,0.56,0.5,5,0.0,1.0,stripe,0.13738496822930998,0.10400700322529262,0.03706547830924484,0.0322501167789037
10,0.0,0.56,0.5,6,0.0,1.0,stripe,0.13738496822930998,0.10400700322529262,0.03706547830924484,0.0322501167789037
10,0.0,0.56,0.6,1,0.0,1.0,stripe,0.1373800201788926,0.09307632530324025,0.037064810828991504,0.030508412823881916
10,0.0,0.56,0.6,2,0.0,1.0,stripe,0.1373800201788926,0.09307632530324025,0.037064810828991504,0.030508412823881916
10,0.0,0.56,0.6,3,0.0,1.0,stripe,0.1373800201788926,0.09307632530324025,0.037064810828991504,0.030508412823881916
10,0.0,0.56,0.6,4,0.0,1.0,stripe,0.1373800201788926,0.09307632530324025,0.037064810828991504,0.030508412823881916
10,0.0,0.56,0.6,5,0.0,1.0,stripe,0.1373800201788926,0.09307632530324025,0.037064810828991504,0.030508412823881916
10,0.0,0.56,0.6,6,0.0,1.0,stripe,0.1373800201788926,0.09307632530324025,0.037064810828991504,0.030508412823881916
10,0.0,0.56,0.7,1,0.0,1.0,stripe,0.1379735739560565,0.08905253032967775,0.03714479424576969,0.02984167058488478
10,0.0,0.56,0.7,2,0.0,1.0,stripe,0.1379735739560565,0.08905253032967775,0.03714479424576969,0.02984167058488478
10,0.0,0.56,0.7,3,0.0,1.0,stripe,0.1379735739560565,0.08905253032967775,0.03714479424576969,0.02984167058488478
10,0.0,0.56,0.7,4,0.0,1.0,stripe,0.1379735739560565,0.08905253032967775,0.03714479424576969,0.02984167058488478
10,0.0,0.56,0.7,5,0.0,1.0,stripe,0.1379735739560565,0.08905253032967775,0.03714479424576969,0.02984167058488478
10,0.0,0.56,0.7,6,0.0,1.0,stripe,0.1379735739560565,0.08905253032967775,0.03714479424576969,0.02984167058488478
10,0.0,0.66,0.0,1,0.8,1.0,spiral,0.165,0.165,0.040620192023179805,0.040620192023179805
10,0.0,0.66,0.0,2,0.8,1.0,spiral,0.165,0.165,0.040620192023179805,0.040620192023179805
10,0.0,0.66,0.0,3,0.8,1.0,spiral,0.165,0.165,0.040620192023179805,0.040620192023179805
10,0.0,0.66,0.0,4,0.8,1.0,spiral,0.165,0.165,0.040620192023179805,0.040620192023179805
10,0.0,0.66,0.0,5,0.8,1.0,spiral,0.165,0.165,0.040620192023179805,0.040620192023179805
10,0.0,0.66,0.0,6,0.8,1.0,spiral,0.165,0.165,0.040620192023179805,0.040620192023179805
10,0.0,0.66,0.1,1,1.0,0.8,spiral,0.1644902364506014,0.16385893475228558,0.04055739592856048,0.04047949292571309
10,0.0,0.66,0.1,2,1.0,0.8,spiral,0.1644902364506014,0.16385893475228558,0.04055739592856048,0.04047949292571309
10,0.0,0.66,0.1,3,1.0,0.8,spiral,0.1644902364506014,0.16385893475228558,0.04055739592856048,0.04047949292571309
10,0.0,0.66,0.1,4,1.0,0.8,spiral,0.1644902364506014,0.16385893475228558,0.04055739592856048,0.04047949292571309
10,0.0,0.66,0.1,5,1.0,0.8,spiral,0.1644902364506014,0.16385893475228558,0.04055739592856048,0.04047949292571309
10,0.0,0.66,0.1,6,1.0,0.8,spiral,0.1644902364506014,0.16385893475228558,0.04055739592856048,0.04047949292571309
10,0.0,0.66,0.2,1,1.0,0.6,spiral,0.16355397983090728,0.15665003036511194,0.04044180755491862,0.03957903869033607
10,0.0,0.66,0.2,2,1.0,0.6,spiral,0.16355397983090728,0.15665003036511194,0.04044180755491862,0.03957903869033607
10,0.0,0.66,0.2,3,1.0,0.6,spiral,0.16355397983090728,0.15665003036511194,0.04044180755491862,0.03957903869033607
10,0.0,0.66,0.2,4,1.0,0.6,spiral,0.16355397983090728,0.15665003036511194,0.04044180755491862,0.03957903869033607
10,0.0,0.66,0.2,5,1.0,0.6,spiral,0.16355397983090728,0.15665003036511194,0.04044180755491862,0.03957903869033607
10,0.0,0.66,0.2,6,1.0,0.6,spiral,0.16355397983090728,0.15665003036511194,0.04044180755491862,0.03957903869033607
10,0.0,0.66,0.3,1,0.8,1.0,spiral,0.15649051632539734,0.14889174888323142,0.03955888222958244,0.038586493606342545
10,0.0,0.66,0.3,2,0.8,1.0,spiral,0.15649051632539734,0.14889174888323142,0.03955888222958244,0.038586493606342545
10,0.0,0.66,0.3,3,0.8,1.0,spiral,0.15649051632539734,0.14889174888323142,0.03955888222958244,0.038586493606342545
10,0.0,0.66,0.3,4,0.8,1.0,spiral,0.15649051632539734,0.14889174888323142,0.03955888222958244,0.038586493606342545
10,0.0,0.66,0.3,5,0.8,1.0,spiral,0.15649051632539734,0.14889174888323142,0.03955888222958244,0.038586493606342545
10,0.0,0.66,0.3,6,0.8,1.0,spiral,0.15649051632539734,0.14889174888323142,0.03955888222958244,0.038586493606342545
10,0.0,0.66,0.4,1,1.0,0.8,spiral,0.15195250882431005,0.14381127666480473,0.03898108628864902,0.037922457286521494
10,0.0,0.66,0.4,2,1.0,0.8,spiral,0.15195250882431005,0.14381127666480473,0.03898108628864902,0.037922457286521494
10,0.0,0.66,0.4,3,1.0,0.8,spiral,0.15195250882431005,0.14381127666480473,0.03898108628864902,0.037922457286521494
10,0.0,0.66,0.4,4,1.0,0.8,spiral,0.15195250882431005,0.14381127666480473,0.03898108628864902,0.037922457286521494
10,0.0,0.66,0.4,5,1.0,0.8,spiral,0.15195250882431005,0.14381127666480473,0.03898108628864902,0.037922457286521494
10,0.0,0.66,0.4,6,1.0,0.8,spiral,0.15195250882431005,0.14381127666480473,0.03898108628864902,0.037922457286521494
