U,nup,delta,m,m0,dm,mAM,n
6.0,64,0.2,0.050274454772535844,0.0369562316081898,0.01331822316434604,0.002663644632869208,0.8888888888888888
6.0,64,0.3,0.051394651089383465,0.0362770355696942,0.015117615519689265,0.004535284655906779,0.8888888888888888
6.0,64,0.4,0.041291162164045665,0.0332893207711791,0.008001841392866568,0.0032007365571466275,0.8888888888888888
6.0,72,0.0,0.058583829358470035,0.0380362887156365,0.020547540642833532,0.0,1.0
6.0,72,0.1,0.05723504139550368,0.037554652263564,0.01968038913193968,0.001968038913193968,1.0
6.0,72,0.2,0.05355077772731745,0.0367683761087647,0.016782401618552753,0.0033564803237105508,1.0
6.0,72,0.3,0.05041610914766945,0.0356748742287585,0.014741234918910946,0.004422370475673284,1.0
6.0,72,0.4,0.046183415706772306,0.034358650153483,0.011824765553289304,0.004729906221315722,1.0
8.0,36,0.0,0.030142997284098198,0.0294627825494394,0.0006802147346587975,0.0,0.5
8.0,36,0.1,0.030211180622384367,0.029386935469142495,0.0008242451532418718,8.242451532418718e-05,0.5
8.0,36,0.2,0.029682782371165783,0.0291349980717828,0.0005477842993829828,0.00010955685987659655,0.5
8.0,36,0.3,0.029578484974776668,0.0287761939629325,0.0008022910118441681,0.00024068730355325042,0.5
8.0,36,0.4,0.029453946454519566,0.0283303679781198,0.001123578476399767,0.0004494313905599068,0.5
8.0,40,0.0,0.03190894572596074,0.031056499687497,0.0008524460384637354,0.0,0.5555555555555556
8.0,40,0.1,0.03234972212740005,0.0309676136091056,0.0013821085182944524,0.00013821085182944524,0.5555555555555556
8.0,40,0.2,0.0317627557270908,0.030714859295012203,0.0010478964320785981,0.00020957928641571964,0.5555555555555556
8.0,40,0.3,0.03134462168330008,0.0303338711713847,0.0010107505119153794,0.0003032251535746138,0.5555555555555556
8.0,40,0.4,0.0306109766124693,0.0295312657142231,0.0010797108982462007,0.0004318843592984803,0.5555555555555556
8.0,48,0.0,0.03728762413882092,0.0340206908719885,0.003266933266832417,0.0,0.6666666666666666
8.0,48,0.1,0.03827629317294567,0.0339154269959452,0.004360866177000468,0.0004360866177000468,0.6666666666666666
8.0,48,0.2,0.03612041379260523,0.0333133456474967,0.0028070681451085253,0.000561413629021705,0.6666666666666666
8.0,48,0.3,0.033866369902578415,0.0321157904505505,0.0017505794520279172,0.0005251738356083751,0.6666666666666666
8.0,48,0.4,0.03237300856111442,0.0307744154819389,0.0015985930791755192,0.0006394372316702077,0.6666666666666666
8.0,56,0.0,0.0458327362531977,0.0360843918243516,0.009748344428846097,0.0,0.7777777777777778
8.0,56,0.1,0.04468466893668965,0.0358651129078462,0.008819556028843455,0.0008819556028843455,0.7777777777777778
8.0,56,0.2,0.04499455544617977,0.0358614000822791,0.00913315536390067,0.0018266310727801341,0.7777777777777778
8.0,56,0.3,0.039264482308775404,0.0339169757981854,0.005347506510590003,0.0016042519531770008,0.7777777777777778
8.0,56,0.4,0.037846077424686216,0.0325837812268567,0.005262296197829516,0.0021049184791318066,0.7777777777777778
8.0,64,0.0,0.05594140994452242,0.0385246883486812,0.01741672159584122,0.0,0.8888888888888888
8.0,64,0.1,0.05500480404049695,0.038153117216331,0.01685168682416595,0.001685168682416595,0.8888888888888888
8.0,64,0.2,0.05257299793840093,0.0369562316081898,0.015616766330211126,0.0031233532660422253,0.8888888888888888
8.0,64,0.3,0.05394507667956545,0.0362770355696942,0.017668041109871246,0.005300412332961374,0.8888888888888888
8.0,64,0.4,0.043078482621676295,0.0332893207711791,0.009789161850497198,0.00391566474019888,0.8888888888888888
8.0,72,0.0,0.06373776230508572,0.0380362887156365,0.02570147358944922,0.0,1.0
8.0,72,0.1,0.05978939806519843,0.037554652263564,0.022234745801634433,0.0022234745801634434,1.0
8.0,72,0.2,0.054476617356331684,0.0367683761087647,0.017708241247566987,0.0035416482495133975,1.0
8.0,72,0.3,0.05558206321210293,0.0356748742287585,0.019907188983344433,0.005972156695003329,1.0
8.0,72,0.4,0.04865236434271155,0.034358650153483,0.014293714189228549,0.00571748567569142,1.0
