L,n,U,delta,delta_tot,delta_tot_err,net,snr,corr_dxy,dtot_N
10,0.86,4.0,0.2,4.268415856,0.038986974338299,-0.1596757979999997,13.735948583429137,0.7855311913789034,0.04268415856
10,0.94,4.0,0.2,8.137673999999999,0.0284522426792805,-0.0041498460000003,55.227911515037725,-0.6299778420528961,0.08137673999999999
10,0.5,4.0,0.3,1.162759691,0.0362929515348658,0.0199187009999997,3.046525803351562,0.3886438955521464,0.01162759691
10,0.58,4.0,0.3,2.3608168220000008,0.038367759375951,-0.0500276579999993,6.010824808593565,-0.2787044756569174,0.023608168220000007
10,0.74,4.0,0.3,0.9463923789999998,0.0323795378811405,0.0193772049999996,3.080918210301568,-0.4950408196564754,0.009463923789999999
10,0.82,4.0,0.3,1.914509978,0.0404855723525554,-0.0211271500000003,5.9914875842487785,-0.7693964529224625,0.019145099779999997
10,0.5,4.0,0.4,1.8202885409999996,0.0308624443416844,0.1456623830000002,5.383636697290577,-0.5550253630915961,0.018202885409999994
10,0.58,4.0,0.4,2.0357193369999997,0.0394854679880519,0.109627643,5.522952014839007,-0.7773738577121674,0.02035719337
10,0.74,4.0,0.4,3.752978486,0.0231002487443671,-0.0008914400000003,18.075888847697023,-0.7926935650030675,0.03752978486
10,0.82,4.0,0.4,0.725842426,0.0396152496172879,0.0164375780000007,1.7227402036585957,0.0107876397555358,0.00725842426
10,0.9,4.0,0.4,10.037290273000002,0.0277194264532301,-0.0007542550000002,63.57686400167296,-0.627983809914543,0.10037290273000002
10,0.98,4.0,0.4,6.665189923000001,0.0481211263719911,1.0676999999792436e-05,50.6852059663658,-0.310309356840117,0.06665189923
14,1.0,0.0,0.2,0.0,5.149757275833494e-08,0.0,,,0.0
14,1.0,2.0,0.2,14.466286112,0.0172340779614995,0.0042709499999996,104.726681360626,-0.3164383062332579,0.07380758220408164
14,1.0,3.0,0.1,6.253676176,0.0556047937691795,0.0152991479999993,25.4805557109878,-0.0240474791548371,0.03190651110204082
14,1.0,3.0,0.2,14.067969081,0.0720324205365563,-0.0192355489999997,59.416726879557245,-0.2578597361817772,0.07177535245408163
14,1.0,3.0,0.3,10.551540235,0.033850805468755,0.0254399470000011,56.089105406353,-0.2241765092653281,0.05383438895408163
14,1.0,3.5,0.1,6.19346165,0.0379540883115353,-0.0262403519999996,34.32527274318044,-0.0012350742037076,0.03159929413265306
14,1.0,3.5,0.2,11.31861008,0.0867994570808085,-0.012010316,51.03170521694342,-0.0190613880342339,0.057748010612244896
14,1.0,3.5,0.3,14.756169299,0.0791930442429325,0.0289749569999996,49.90831109083406,-0.1470966949336554,0.07528657805612245
14,1.0,4.0,0.0,0.1551612769999993,0.0339431724962622,0.0032278770000008,0.4506388490863806,0.0180306617734349,0.0007916391683673433
14,1.0,4.0,0.1,5.76122603,0.0296415606566751,-0.0074917140000001,30.274430323410293,0.0032245023042835,0.02939401035714286
14,0.5,4.0,0.2,1.554875844,0.0457227341881562,0.0281605819999995,2.0310229787560785,0.056433171787478,0.007933040020408164
14,0.582,4.0,0.2,1.6131594059999992,0.0675923118999209,0.0055079240000002,1.828058579927492,-0.2944048400078729,0.008230405132653057
14,0.622,4.0,0.2,2.2425774510000007,0.0612685993258663,0.1534946229999999,2.437390286953256,-0.0312212205647957,0.011441721688775514
14,0.704,4.0,0.2,10.245842441,0.0678021433110143,0.0065578630000001,12.047255174112053,-0.768239067208575,0.052274706331632656
14,0.745,4.0,0.2,9.966144824,0.0678875379754805,-0.060936438,12.1537740337418,-0.8166905988698007,0.05084767767346939
14,0.765,4.0,0.2,15.241175493,0.0707665372493472,0.1045800850000002,17.820312509118445,-0.8239602257343654,0.07776109945408163
14,0.847,4.0,0.2,6.837621797000001,0.0931390292031113,-0.0451084629999999,7.539075274642685,0.7164788631046436,0.034885825494897965
