U,nup,delta,Spipi,M,chi_son,chi_sext,chi_d,chi_dxy,n,Mdelta,M0,dM,dMdelta
4.0,10,0.2,0.1443299698268097,0.3799076284761062,-6.790661770424154,-2.9197350044503714,0.8760561202952183,-0.3409784843119738,0.5555555555555556,0.0759815256952212,0.3664720083793387,0.01343562009676752,0.002687124019353504
4.0,10,0.3,0.1403239797782552,0.3745918092664793,-7.074534317573808,-2.541399392713135,0.4356675124327813,-1.7520100037015671,0.5555555555555556,0.1123775427799437,0.3599074596800952,0.014684349586384093,0.004405304875915228
4.0,10,0.4,0.133534766149859,0.3654230178091673,-7.460029948069244,-2.2440452902617305,-0.5708295940544059,-4.068057324832008,0.5555555555555556,0.1461692071236669,0.3523960932472829,0.013026924561884423,0.005210769824753769
4.0,12,0.0,0.195021866602408,0.441601750613132,-4.05600114248345,-0.298004811332973,0.6897442548966407,0.0225319621329296,0.6666666666666666,0.0,0.4082482904638631,0.03335346014926893,0.0
4.0,12,0.1,0.1954958211162322,0.442147531026426,-4.08431735451484,-0.2265924548949123,0.8176894113086908,-0.2258379708519163,0.6666666666666666,0.0442147531026426,0.4067482916732852,0.03539923935314082,0.003539923935314082
4.0,12,0.2,0.1889698324307679,0.43470488193453,-4.184676819069574,-0.2008253502301105,1.3489796415741797,-0.938572629600722,0.6666666666666666,0.086940976386906,0.4025909967986911,0.032113885135838904,0.006422777027167781
4.0,12,0.3,0.1811532427043575,0.4256165103631437,-4.260562299169314,-0.12685242242427,0.3153344668426854,-2.3091062929759607,0.6666666666666666,0.1276849531089431,0.3966247058759164,0.02899180448722727,0.00869754134616818
4.0,12,0.4,0.1704497384951865,0.4128552254218685,-4.348122168852985,0.0425117501957378,0.7718658376592056,-4.056310556103765,0.6666666666666666,0.1651420901687474,0.3898214774915892,0.02303374793027929,0.009213499172111717
4.0,14,0.0,0.2310508815356252,0.4806758553949081,-2.57673745921322,0.9448931681786632,0.4270932029152331,-0.2875016957165097,0.7777777777777778,0.0,0.4249182927993986,0.05575756259550951,0.0
4.0,14,0.1,0.2325931489659808,0.4822713420939761,-2.581813935648543,0.9589227760574456,0.495546112699157,-0.4559751249548939,0.7777777777777778,0.0482271342093976,0.4234773449288935,0.0587939971650826,0.00587939971650826
4.0,14,0.2,0.2255318652491544,0.474897218954475,-2.578568966412772,0.9814748723308748,0.5057522238151038,-1.193671188121868,0.7777777777777778,0.094979443790895,0.4194858753191253,0.05541134363534972,0.011082268727069945
4.0,14,0.3,0.2481214833936601,0.4981122176282583,-2.559451078243526,1.0553844612752803,1.020994883287987,-2.0181050156938567,0.7777777777777778,0.1494336652884775,0.4261509271501159,0.07196129047814243,0.021588387143442727
