L,U,delta,nk,A_odd,M_odd
8.000000000000000000e+00,2.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,8.302699328604019879e-02,1.990590534689151703e+00
8.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,6.423846145836319133e-02,1.751624800722374253e+00
8.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,3.622423626348153514e-02,1.550715059423923847e+00
8.000000000000000000e+00,2.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,3.227225894811630580e-02,1.242823925248452310e+00
8.000000000000000000e+00,2.000000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,2.203662681385227043e-02,1.422125284183366478e+00
8.000000000000000000e+00,3.500000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,4.284719750472035238e-02,1.945944718094304138e+00
8.000000000000000000e+00,3.500000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,6.139036886361779605e-02,1.984007854315306574e+00
8.000000000000000000e+00,3.500000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,2.320921327578203200e-02,1.993513708652101091e+00
8.000000000000000000e+00,3.500000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,8.949788235559716365e-02,1.905485239209281145e+00
8.000000000000000000e+00,3.500000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,6.753054387635404332e-02,1.966230775344786297e+00
8.000000000000000000e+00,3.500000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,4.153198372856869297e-02,1.813442142552602165e+00
8.000000000000000000e+00,3.500000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,2.841460342101129882e-02,1.861125247581083997e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,4.394971741281476080e-02,1.974765045696730947e+00
8.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,1.293897792538977187e-01,1.886539703087166009e+00
8.000000000000000000e+00,3.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,3.411946750381875115e-02,1.998359766571462748e+00
8.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,5.050316262853306315e-02,1.878752648700385386e+00
8.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,5.706650100651603635e-02,1.971600005540431910e+00
8.000000000000000000e+00,3.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,4.854916008807899641e-02,1.654833161435584010e+00
8.000000000000000000e+00,3.000000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,4.423609988817955169e-02,1.900709551564063959e+00
8.000000000000000000e+00,4.500000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,4.341399180322780271e-02,1.980526387175120417e+00
8.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,4.844953088089825471e-02,1.976332768868724665e+00
8.000000000000000000e+00,4.500000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,3.100177594210553819e-02,1.963919752228899362e+00
8.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,1.030099993069745479e-01,1.957482212905030439e+00
8.000000000000000000e+00,4.500000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,1.733295438457581883e-01,1.902127570543446611e+00
8.000000000000000000e+00,4.500000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,5.963089118804694444e-02,1.966550620231394042e+00
8.000000000000000000e+00,4.500000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,4.842644832925289272e-02,1.963254180767805002e+00
8.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,5.194365852428627778e-02,1.963906351910438053e+00
8.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,7.018361941320516717e-02,1.953627823773611771e+00
8.000000000000000000e+00,4.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,2.959807212670588147e-02,1.989277728513138666e+00
8.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,2.630234424160436957e-01,1.796869802928945381e+00
8.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,5.038297599236196689e-02,1.979169072318326839e+00
8.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,5.723162527974752500e-02,1.975980485180701463e+00
8.000000000000000000e+00,4.000000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,4.384798511827095457e-02,1.996223552404639001e+00
8.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,3.261188080529545119e-02,1.990068374092393899e+00
8.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,4.379897678373152053e-02,1.970810874122853162e+00
8.000000000000000000e+00,5.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,2.668686828238303610e-02,1.996344398113670815e+00
8.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,7.950273226305029639e-02,1.975499224488045380e+00
8.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,2.223138065631020677e-01,1.860774328063799388e+00
8.000000000000000000e+00,5.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,1.054194096415962817e-01,1.986031126854717277e+00
8.000000000000000000e+00,5.000000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,6.422899780315390050e-02,1.971384760067165898e+00
1.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,0.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,0.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,1.061963237477610636e-02,1.985260526863055208e+00
1.200000000000000000e+01,2.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,8.072914168834505882e-03,1.999906379732805828e+00
1.200000000000000000e+01,2.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,1.605255597686292002e-01,1.998976842359071915e+00
1.200000000000000000e+01,2.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,4.432939958914598050e-02,1.742461824522484548e+00
1.200000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,4.905141114245512718e-02,1.975956691059594039e+00
1.200000000000000000e+01,2.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,3.657585015823079655e-02,1.541549739645209138e+00
1.200000000000000000e+01,2.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,3.591309414889171797e-02,1.884954113444020418e+00
1.200000000000000000e+01,3.500000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,3.801700256712163550e-02,1.983512650721114046e+00
1.200000000000000000e+01,3.500000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,6.617985603234409486e-02,1.963893122444541062e+00
1.200000000000000000e+01,3.500000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,5.167027894138614963e-02,1.990981385967238504e+00
1.200000000000000000e+01,3.500000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,4.596988523942336508e-02,1.973973899408774102e+00
1.200000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,7.041019608815134168e-02,1.927438378790499618e+00
1.200000000000000000e+01,3.500000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,5.170511772221073749e-02,1.965553524661452611e+00
1.200000000000000000e+01,3.500000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,4.804559582743164747e-02,1.921165639004722481e+00
1.200000000000000000e+01,3.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,2.768498859078429020e-02,1.984615823067173102e+00
1.200000000000000000e+01,3.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,1.261837547469730515e-02,1.991125798614788556e+00
1.200000000000000000e+01,3.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,3.594013187399638237e-02,1.987869833186221458e+00
1.200000000000000000e+01,3.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,6.855007624791185916e-02,1.924059529515983025e+00
1.200000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,4.144960356360062603e-02,1.861814435129349521e+00
1.200000000000000000e+01,3.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,4.770337410788604016e-02,1.957313303601568633e+00
1.200000000000000000e+01,3.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,5.193887832548427924e-02,1.876234580515106165e+00
1.200000000000000000e+01,4.500000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,2.328366494905250578e-02,1.978959300799370435e+00
1.200000000000000000e+01,4.500000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,2.839561263903474242e-02,1.988759178424283958e+00
1.200000000000000000e+01,4.500000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,6.805846727209220737e-02,1.951268982331224366e+00
1.200000000000000000e+01,4.500000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,4.977432459204091802e-02,1.948294162733464896e+00
1.200000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,1.205469444436206850e-01,1.944242485210981863e+00
1.200000000000000000e+01,4.500000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,1.662967160879034456e-01,1.893644010703248615e+00
