U,nup,delta,mm,m0,chi_d,chi_dxy,dm,mAM,n
4.0,72,0.4,0.041042825145725555,0.034358650153483,1.7753387701569332,5.595813566477651,0.006684174992242553,0.0026736699968970216,1.0
6.0,36,0.0,0.030245291131040648,0.0294627825494394,-6.108066703527883,3.3486140249134393,0.0007825085816012475,0.0,0.5
6.0,36,0.1,0.03016188868983215,0.029386935469142495,-5.335502939940441,2.7523303405908024,0.0007749532206896559,7.749532206896559e-05,0.5
6.0,36,0.2,0.029869531588583968,0.0291349980717828,-6.0533274158960575,-1.8080514681120865,0.0007345335168011669,0.00014690670336023337,0.5
6.0,36,0.3,0.02979129965686847,0.0287761939629325,-7.283824468706068,-4.693053594209054,0.00101510569393597,0.000304531708180791,0.5
6.0,36,0.4,0.0291624527698361,0.0283303679781198,-6.40837067989293,-8.761228544555347,0.0008320847917163005,0.0003328339166865202,0.5
6.0,40,0.0,0.0327676002185854,0.031056499687497,-0.3923278519740285,0.9921170533293097,0.001711100531088399,0.0,0.5555555555555556
6.0,40,0.1,0.03235668353629337,0.0309676136091056,-3.2238197650387015,0.7856977633504223,0.0013890699271877673,0.00013890699271877673,0.5555555555555556
6.0,40,0.2,0.03197010371302715,0.030714859295012203,-0.3574562270200173,-2.368881057805651,0.0012552444180149482,0.00025104888360298963,0.5555555555555556
6.0,40,0.3,0.031466663658044215,0.0303338711713847,-6.308147339775672,-4.171368242636696,0.0011327924866595153,0.0003398377459978546,0.5555555555555556
6.0,40,0.4,0.030949377269200846,0.0295312657142231,-6.278299476022057,-7.864135718026521,0.0014181115549777475,0.000567244621991099,0.5555555555555556
6.0,48,0.0,0.037509845314095985,0.0340206908719885,0.4613879555482115,-2.9795506282747617,0.003489154442107484,0.0,0.6666666666666666
6.0,48,0.1,0.037646255086953136,0.0339154269959452,-0.48053797581271257,-3.4671961470836714,0.003730828091007936,0.0003730828091007936,0.6666666666666666
6.0,48,0.2,0.03635819575284475,0.0333133456474967,-1.6552196380547575,-2.838439996266692,0.0030448501053480445,0.000608970021069609,0.6666666666666666
6.0,48,0.3,0.03451740902132975,0.0321157904505505,-0.2715302491135733,-5.193206202687814,0.0024016185707792514,0.0007204855712337754,0.6666666666666666
6.0,48,0.4,0.03302933890238211,0.0307744154819389,-3.0275748745822013,-4.1527465405553246,0.0022549234204432105,0.0009019693681772842,0.6666666666666666
6.0,56,0.0,0.043938936151106556,0.0360843918243516,3.260497714487593,-1.840411772185517,0.007854544326754954,0.0,0.7777777777777778
6.0,56,0.1,0.04467279570354163,0.0358651129078462,1.7168988028335408,-1.6307351725915227,0.00880768279569543,0.0008807682795695431,0.7777777777777778
6.0,56,0.2,0.04301636582812863,0.0358614000822791,0.33203740383653485,-2.284912179382852,0.007154965745849527,0.0014309931491699056,0.7777777777777778
6.0,56,0.3,0.03964832312483283,0.0339169757981854,1.0334181736656263,-2.1036299222758843,0.005731347326647429,0.0017194041979942288,0.7777777777777778
6.0,56,0.4,0.03709166736117643,0.0325837812268567,0.5922511195229214,-1.9861105669997412,0.0045078861343197316,0.0018031544537278927,0.7777777777777778
